"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","153402","fullscreen","0","154404","0.0-0.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","","","","","","","","","","","","","",""
"","22567","html-keyboard-response","1","176972","0.0-1.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","instruction screen 0","f","","","","","","","","","","","",""
"true","","preload","2","179792","0.0-2.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","","","false","[]","[]","[]","","","","","","","",""
"","78275","html-keyboard-response","3","258068","0.0-3.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","instruction screen 1","h","","","","","","","","","","","",""
"","9145","html-keyboard-response","4","267229","0.0-4.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","instruction screen 2","q","","","","","","","","","","","",""
"","6515","html-keyboard-response","5","273761","0.0-5.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","instruction screen 3","p","","","","","","","","","","","",""
"","7633","html-keyboard-response","6","281408","0.0-6.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","instruction screen 4"," ","","","","","","","","","","","",""
"","6251","html-keyboard-response","7","287675","0.0-7.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","288202","0.0-8.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","288716","0.0-9.0-0.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","fixation cross","null","","","","","","","","","","","",""
"","1605","html-keyboard-response","10","290320","0.0-9.0-1.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","3000","ongrid","p","5","Ontogenetic","true","practice"
"","null","html-keyboard-response","11","290478","0.0-9.0-2.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","291695","0.0-9.0-3.0","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","292211","0.0-9.0-0.1","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","fixation cross","null","","","","","","","","","","","",""
"","2847","html-keyboard-response","14","295058","0.0-9.0-1.1","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","image grid"," ","","","","","Ontogenetic_Distractor_notarget","2900","ongrid"," ","9","Ontogenetic","true","practice"
"","null","html-keyboard-response","15","295214","0.0-9.0-2.1","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","296420","0.0-9.0-3.1","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","296936","0.0-9.0-0.2","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","fixation cross","null","","","","","","","","","","","",""
"","2073","html-keyboard-response","18","299009","0.0-9.0-1.2","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","image grid"," ","","","","","Phylogenetic_Distractor_notarget","2800","ongrid"," ","4","Ontogenetic","true","practice"
"","null","html-keyboard-response","19","299163","0.0-9.0-2.2","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","300374","0.0-9.0-3.2","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","300880","0.0-9.0-0.3","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","fixation cross","null","","","","","","","","","","","",""
"","2133","html-keyboard-response","22","303014","0.0-9.0-1.3","0hh5mZ8heY","5df416a57bf5722f9a501255","6617fad957f7c6a12ea16e26","6622d0992d38107c676d2348","image grid"," ","","","","","Ontogenetic_Distractor_notarget","2700","ongrid"," ","1","Ontogenetic","true","practice"
