"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","78594","fullscreen","0","79602","0.0-0.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","","","","","","","","","","","","","",""
"","10143","html-keyboard-response","1","89754","0.0-1.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","137656","0.0-2.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","","","false","[]","[]","[]","","","","","","","",""
"","15046","html-keyboard-response","3","152706","0.0-3.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","instruction screen 1"," ","","","","","","","","","","","",""
"","8783","html-keyboard-response","4","161550","0.0-4.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","instruction screen 2","q","","","","","","","","","","","",""
"","3703","html-keyboard-response","5","165325","0.0-5.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","instruction screen 3","p","","","","","","","","","","","",""
"","6444","html-keyboard-response","6","171836","0.0-6.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","instruction screen 4"," ","","","","","","","","","","","",""
"","21993","html-keyboard-response","7","193896","0.0-7.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","194469","0.0-8.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","194971","0.0-9.0-0.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","fixation cross","null","","","","","","","","","","","",""
"","1072","html-keyboard-response","10","196046","0.0-9.0-1.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","3000","ongrid","q","2","Ontogenetic","true","practice"
"","null","html-keyboard-response","11","196200","0.0-9.0-2.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","197406","0.0-9.0-3.0","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","197917","0.0-9.0-0.1","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","fixation cross","null","","","","","","","","","","","",""
"","847","html-keyboard-response","14","198766","0.0-9.0-1.1","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2900","ongrid","p","1","Ontogenetic","true","practice"
"","null","html-keyboard-response","15","198919","0.0-9.0-2.1","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","200123","0.0-9.0-3.1","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","200634","0.0-9.0-0.2","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","fixation cross","null","","","","","","","","","","","",""
"","671","html-keyboard-response","18","201307","0.0-9.0-1.2","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2800","ongrid","q","5","Ontogenetic","true","practice"
"","null","html-keyboard-response","19","201460","0.0-9.0-2.2","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","202666","0.0-9.0-3.2","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","203177","0.0-9.0-0.3","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","fixation cross","null","","","","","","","","","","","",""
"","654","html-keyboard-response","22","203832","0.0-9.0-1.3","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2700","ongrid","p","5","Ontogenetic","true","practice"
"","null","html-keyboard-response","23","203985","0.0-9.0-2.3","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","205190","0.0-9.0-3.3","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","205700","0.0-9.0-0.4","2A6sp3Bz26","5f920aa80a785011ef6906e3","6617fad957f7c6a12ea16e26","6622cd7ab7da879c41de457e","fixation cross","null","","","","","","","","","","","",""
