"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","3208","fullscreen","0","4218","0.0-0.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","","","","","","","","","","","","","",""
"","13205","html-keyboard-response","1","17426","0.0-1.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","instruction screen 0","enter","","","","","","","","","","","",""
"true","","preload","2","30289","0.0-2.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","","","false","[]","[]","[]","","","","","","","",""
"","11814","html-keyboard-response","3","42105","0.0-3.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","instruction screen 1","enter","","","","","","","","","","","",""
"","10882","html-keyboard-response","4","52989","0.0-4.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","instruction screen 2","q","","","","","","","","","","","",""
"","10144","html-keyboard-response","5","63126","0.0-5.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","instruction screen 3","p","","","","","","","","","","","",""
"","5142","html-keyboard-response","6","68297","0.0-6.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","instruction screen 4"," ","","","","","","","","","","","",""
"","13071","html-keyboard-response","7","81398","0.0-7.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","81943","0.0-8.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","82456","0.0-9.0-0.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","85457","0.0-9.0-1.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","6633","html-keyboard-response","11","89119","0.0-9.0-2.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","mask grid"," ","","","","","Ontogenetic_Distractor_notarget","onmask","3000"," ","3","Ontogenetic","true","practice"
"","null","html-keyboard-response","12","90335","0.0-9.0-3.0","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","90856","0.0-9.0-0.1","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","fixation cross","null","","","","","","","","","","","",""
"","1028","html-keyboard-response","14","91885","0.0-9.0-1.1","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","image grid","q","","","","","Ontogenetic_Distractor_Nonthreat_target","ongrid","2900","p","6","Ontogenetic","false","practice"
"","null","html-keyboard-response","15","92043","0.0-9.0-2.1","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","93257","0.0-9.0-3.1","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","93761","0.0-9.0-0.2","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","fixation cross","null","","","","","","","","","","","",""
"","1810","html-keyboard-response","18","95572","0.0-9.0-1.2","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","image grid","p","","","","","Ontogenetic_Distractor_Threat_target","ongrid","2800","q","9","Ontogenetic","false","practice"
"","null","html-keyboard-response","19","95728","0.0-9.0-2.2","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","96945","0.0-9.0-3.2","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","97460","0.0-9.0-0.3","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","fixation cross","null","","","","","","","","","","","",""
"","1361","html-keyboard-response","22","98822","0.0-9.0-1.3","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","image grid"," ","","","","","Phylogenetic_Distractor_Threat_target","ongrid","2700","q","7","Ontogenetic","false","practice"
"","null","html-keyboard-response","23","98983","0.0-9.0-2.3","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","100211","0.0-9.0-3.3","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","100726","0.0-9.0-0.4","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","fixation cross","null","","","","","","","","","","","",""
"","1335","html-keyboard-response","26","102062","0.0-9.0-1.4","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","image grid","p","","","","","Phylogenetic_Distractor_Threat_target","ongrid","2600","q","6","Ontogenetic","false","practice"
"","null","html-keyboard-response","27","102221","0.0-9.0-2.4","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","28","103439","0.0-9.0-3.4","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","29","103952","0.0-9.0-0.5","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","fixation cross","null","","","","","","","","","","","",""
"","1374","html-keyboard-response","30","105327","0.0-9.0-1.5","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","ongrid","2500","q","3","Ontogenetic","true","practice"
"","null","html-keyboard-response","31","105480","0.0-9.0-2.5","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","32","106695","0.0-9.0-3.5","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","33","107207","0.0-9.0-0.6","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","fixation cross","null","","","","","","","","","","","",""
"","990","html-keyboard-response","34","108198","0.0-9.0-1.6","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","image grid","q","","","","","Ontogenetic_Distractor_Nonthreat_target","ongrid","2400","p","8","Ontogenetic","false","practice"
"","null","html-keyboard-response","35","108351","0.0-9.0-2.6","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","36","109571","0.0-9.0-3.6","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","37","110086","0.0-9.0-0.7","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","fixation cross","null","","","","","","","","","","","",""
"","1208","html-keyboard-response","38","111294","0.0-9.0-1.7","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","ongrid","2300","q","6","Ontogenetic","true","practice"
"","null","html-keyboard-response","39","111459","0.0-9.0-2.7","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","40","112690","0.0-9.0-3.7","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","41","113201","0.0-9.0-0.8","4k6s15Q25O","5d1ea7e579b687001af802c6","6617fad957f7c6a12ea16e26","6622ce27765850925d514890","fixation cross","null","","","","","","","","","","","",""
