"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2856","fullscreen","0","3870","0.0-0.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","","","","","","","","","","","","","",""
"","7601","html-keyboard-response","1","11473","0.0-1.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","14248","0.0-2.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","","","false","[]","[]","[]","","","","","","","",""
"","13201","html-keyboard-response","3","27449","0.0-3.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","instruction screen 1"," ","","","","","","","","","","","",""
"","6406","html-keyboard-response","4","33857","0.0-4.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","instruction screen 2","q","","","","","","","","","","","",""
"","4350","html-keyboard-response","5","38209","0.0-5.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","instruction screen 3","p","","","","","","","","","","","",""
"","4591","html-keyboard-response","6","42802","0.0-6.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","instruction screen 4"," ","","","","","","","","","","","",""
"","13038","html-keyboard-response","7","55841","0.0-7.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","56344","0.0-8.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","56845","0.0-9.0-0.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","fixation cross","null","","","","","","","","","","","",""
"","1868","html-keyboard-response","10","58713","0.0-9.0-1.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","3000","ongrid","p","6","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","58873","0.0-9.0-2.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","60089","0.0-9.0-3.0","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","60599","0.0-9.0-0.1","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","fixation cross","null","","","","","","","","","","","",""
"","2066","html-keyboard-response","14","62665","0.0-9.0-1.1","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","2900","ongrid","q","7","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","62821","0.0-9.0-2.1","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","64026","0.0-9.0-3.1","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","64529","0.0-9.0-0.2","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","fixation cross","null","","","","","","","","","","","",""
"","1464","html-keyboard-response","18","65993","0.0-9.0-1.2","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2800","ongrid","q","1","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","66147","0.0-9.0-2.2","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","67352","0.0-9.0-3.2","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","67864","0.0-9.0-0.3","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","fixation cross","null","","","","","","","","","","","",""
"","1521","html-keyboard-response","22","69385","0.0-9.0-1.3","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2700","ongrid","q","3","Phylogenetic","true","practice"
"","null","html-keyboard-response","23","69540","0.0-9.0-2.3","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","70753","0.0-9.0-3.3","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","71267","0.0-9.0-0.4","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","fixation cross","null","","","","","","","","","","","",""
"","2070","html-keyboard-response","26","73337","0.0-9.0-1.4","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","image grid"," ","","","","","Phylogenetic_Distractor_Nonthreat_target","2600","ongrid","p","9","Phylogenetic","false","practice"
"","null","html-keyboard-response","27","73489","0.0-9.0-2.4","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","28","74705","0.0-9.0-3.4","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","29","75210","0.0-9.0-0.5","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","fixation cross","null","","","","","","","","","","","",""
"","1367","html-keyboard-response","30","76578","0.0-9.0-1.5","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2500","ongrid","p","2","Phylogenetic","true","practice"
"","null","html-keyboard-response","31","76734","0.0-9.0-2.5","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","32","77948","0.0-9.0-3.5","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","33","78450","0.0-9.0-0.6","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","fixation cross","null","","","","","","","","","","","",""
"","1014","html-keyboard-response","34","79465","0.0-9.0-1.6","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2400","ongrid","q","4","Phylogenetic","true","practice"
"","null","html-keyboard-response","35","79617","0.0-9.0-2.6","4yOkfYtJKa","65aeb35d7f4e3c2fd1959989","6617fad957f7c6a12ea16e26","6622cec137609569465d9863","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
