"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","9269","fullscreen","0","10279","0.0-0.0","8pPr2qwIeU","65c433adee48048ed6f06a9c","6617fad957f7c6a12ea16e26","6622d0190a7f0839f619a034","","","","","","","","","","","","","",""
"","11614","html-keyboard-response","1","21885","0.0-1.0","8pPr2qwIeU","65c433adee48048ed6f06a9c","6617fad957f7c6a12ea16e26","6622d0190a7f0839f619a034","instruction screen 0","l","","","","","","","","","","","",""
"true","","preload","2","56250","0.0-2.0","8pPr2qwIeU","65c433adee48048ed6f06a9c","6617fad957f7c6a12ea16e26","6622d0190a7f0839f619a034","","","false","[]","[]","[]","","","","","","","",""
"","17197","html-keyboard-response","3","73463","0.0-3.0","8pPr2qwIeU","65c433adee48048ed6f06a9c","6617fad957f7c6a12ea16e26","6622d0190a7f0839f619a034","instruction screen 1","l","","","","","","","","","","","",""
"","18456","html-keyboard-response","4","91969","0.0-4.0","8pPr2qwIeU","65c433adee48048ed6f06a9c","6617fad957f7c6a12ea16e26","6622d0190a7f0839f619a034","instruction screen 2","q","","","","","","","","","","","",""
"","7331","html-keyboard-response","5","99368","0.0-5.0","8pPr2qwIeU","65c433adee48048ed6f06a9c","6617fad957f7c6a12ea16e26","6622d0190a7f0839f619a034","instruction screen 3","p","","","","","","","","","","","",""
"","11622","html-keyboard-response","6","111055","0.0-6.0","8pPr2qwIeU","65c433adee48048ed6f06a9c","6617fad957f7c6a12ea16e26","6622d0190a7f0839f619a034","instruction screen 4"," ","","","","","","","","","","","",""
"","20488","html-keyboard-response","7","131606","0.0-7.0","8pPr2qwIeU","65c433adee48048ed6f06a9c","6617fad957f7c6a12ea16e26","6622d0190a7f0839f619a034","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","132174","0.0-8.0","8pPr2qwIeU","65c433adee48048ed6f06a9c","6617fad957f7c6a12ea16e26","6622d0190a7f0839f619a034","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","132680","0.0-9.0-0.0","8pPr2qwIeU","65c433adee48048ed6f06a9c","6617fad957f7c6a12ea16e26","6622d0190a7f0839f619a034","fixation cross","null","","","","","","","","","","","",""
