"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1571","fullscreen","0","2580","0.0-0.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","","","","","","","","","","","","","",""
"","11370","html-keyboard-response","1","13951","0.0-1.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","18749","0.0-2.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","","","false","[]","[]","[]","","","","","","","",""
"","40680","html-keyboard-response","3","59430","0.0-3.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","instruction screen 1"," ","","","","","","","","","","","",""
"","15454","html-keyboard-response","4","74886","0.0-4.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","instruction screen 2","q","","","","","","","","","","","",""
"","5125","html-keyboard-response","5","80033","0.0-5.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","instruction screen 3","p","","","","","","","","","","","",""
"","8326","html-keyboard-response","6","88378","0.0-6.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","instruction screen 4"," ","","","","","","","","","","","",""
"","8364","html-keyboard-response","7","96763","0.0-7.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","97288","0.0-8.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","97802","0.0-9.0-0.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","fixation cross","null","","","","","","","","","","","",""
"","1369","html-keyboard-response","10","99171","0.0-9.0-1.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","image grid"," ","","","","","Phylogenetic_Distractor_Threat_target","3000","ongrid","q","7","Phylogenetic","false","practice"
"","null","html-keyboard-response","11","99329","0.0-9.0-2.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","100539","0.0-9.0-3.0","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","101053","0.0-9.0-0.1","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","14","103958","0.0-9.0-1.1","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","2900","html-keyboard-response","15","108968","0.0-9.0-2.1","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","mask grid","null","","","","","Ontogenetic_Distractor_Nonthreat_target","2900","onmask","p","7","Phylogenetic","false","practice"
"","null","html-keyboard-response","16","110180","0.0-9.0-3.1","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","110694","0.0-9.0-0.2","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","fixation cross","null","","","","","","","","","","","",""
"","1399","html-keyboard-response","18","112094","0.0-9.0-1.2","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2800","ongrid","q","7","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","112250","0.0-9.0-2.2","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","113474","0.0-9.0-3.2","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","113989","0.0-9.0-0.3","AnlQSU3nB6","5bc79ce8f653a50001ce430e","6617fad957f7c6a12ea16e26","6622c275765850925d5146d7","fixation cross","null","","","","","","","","","","","",""
