"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","4112","fullscreen","0","5121","0.0-0.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","","","","","","","","","","","","","",""
"","11420","html-keyboard-response","1","16542","0.0-1.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","instruction screen 0","enter","","","","","","","","","","","",""
"true","","preload","2","18725","0.0-2.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","","","false","[]","[]","[]","","","","","","","",""
"","10374","html-keyboard-response","3","29105","0.0-3.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","instruction screen 1","enter","","","","","","","","","","","",""
"","13952","html-keyboard-response","4","43058","0.0-4.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","instruction screen 2","q","","","","","","","","","","","",""
"","4383","html-keyboard-response","5","47443","0.0-5.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","instruction screen 3","p","","","","","","","","","","","",""
"","5663","html-keyboard-response","6","53108","0.0-6.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","instruction screen 4"," ","","","","","","","","","","","",""
"","12353","html-keyboard-response","7","65462","0.0-7.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","instruction screen 5","enter","","","","","","","","","","","",""
"","null","html-keyboard-response","8","65991","0.0-8.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","66494","0.0-9.0-0.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","1895","html-keyboard-response","10","68390","0.0-9.0-1.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","3000","ongrid","p","3","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","68553","0.0-9.0-2.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","69756","0.0-9.0-3.0","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","70271","0.0-9.0-0.1","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","2583","html-keyboard-response","14","72854","0.0-9.0-1.1","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","2900","ongrid","q","5","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","73011","0.0-9.0-2.1","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","74226","0.0-9.0-3.1","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","74741","0.0-9.0-0.2","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","1361","html-keyboard-response","18","76103","0.0-9.0-1.2","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2800","ongrid","q","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","76260","0.0-9.0-2.2","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","77477","0.0-9.0-3.2","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","77992","0.0-9.0-0.3","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","1743","html-keyboard-response","22","79736","0.0-9.0-1.3","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid"," ","","","","","Ontogenetic_Distractor_notarget","2700","ongrid"," ","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","23","79888","0.0-9.0-2.3","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","81108","0.0-9.0-3.3","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","81609","0.0-9.0-0.4","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","26","84217","0.0-9.0-1.4","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","2791","html-keyboard-response","27","84408","0.0-9.0-2.4","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","mask grid"," ","","","","","Phylogenetic_Distractor_notarget","2600","onmask"," ","7","Phylogenetic","true","practice"
"","null","html-keyboard-response","28","85625","0.0-9.0-3.4","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","29","86143","0.0-9.0-0.5","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","2089","html-keyboard-response","30","88233","0.0-9.0-1.5","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid"," ","","","","","Phylogenetic_Distractor_Threat_target","2500","ongrid","q","3","Phylogenetic","false","practice"
"","null","html-keyboard-response","31","88393","0.0-9.0-2.5","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","32","89611","0.0-9.0-3.5","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","33","90124","0.0-9.0-0.6","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","1485","html-keyboard-response","34","91609","0.0-9.0-1.6","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2400","ongrid","p","2","Phylogenetic","true","practice"
"","null","html-keyboard-response","35","91766","0.0-9.0-2.6","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","36","92981","0.0-9.0-3.6","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","37","93496","0.0-9.0-0.7","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","1233","html-keyboard-response","38","94729","0.0-9.0-1.7","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2300","ongrid","p","2","Phylogenetic","true","practice"
"","null","html-keyboard-response","39","94883","0.0-9.0-2.7","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","40","96096","0.0-9.0-3.7","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","41","96612","0.0-9.0-0.8","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","982","html-keyboard-response","42","97594","0.0-9.0-1.8","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","2200","ongrid","q","5","Phylogenetic","true","practice"
"","null","html-keyboard-response","43","97749","0.0-9.0-2.8","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","44","98956","0.0-9.0-3.8","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","45","99469","0.0-9.0-0.9","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","1277","html-keyboard-response","46","100746","0.0-9.0-1.9","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2100","ongrid","p","2","Phylogenetic","true","practice"
"","null","html-keyboard-response","47","100902","0.0-9.0-2.9","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","48","102120","0.0-9.0-3.9","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","49","102636","0.0-9.0-0.10","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","1119","html-keyboard-response","50","103755","0.0-9.0-1.10","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2000","ongrid","p","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","51","103916","0.0-9.0-2.10","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","52","105125","0.0-9.0-3.10","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","53","105640","0.0-9.0-0.11","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","835","html-keyboard-response","54","106475","0.0-9.0-1.11","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","1900","ongrid","q","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","55","106643","0.0-9.0-2.11","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","56","107858","0.0-9.0-3.11","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","57","108371","0.0-9.0-0.12","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
"","1592","html-keyboard-response","58","109964","0.0-9.0-1.12","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","1800","ongrid","p","2","Phylogenetic","true","practice"
"","null","html-keyboard-response","59","110115","0.0-9.0-2.12","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","60","111320","0.0-9.0-3.12","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","61","111836","0.0-9.0-0.13","CPXsnFXBI5","655ce6f7af924eb65bdefd92","6617fad957f7c6a12ea16e26","6622cdeefe4b761d33560530","fixation cross","null","","","","","","","","","","","",""
