"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","37749","fullscreen","0","38758","0.0-0.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","","","","","","","","","","","","","",""
"","7581","html-keyboard-response","1","46341","0.0-1.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","instruction screen 0","control","","","","","","","","","","","",""
"true","","preload","2","49022","0.0-2.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","","","false","[]","[]","[]","","","","","","","",""
"","14693","html-keyboard-response","3","63717","0.0-3.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","instruction screen 1","k","","","","","","","","","","","",""
"","22840","html-keyboard-response","4","86581","0.0-4.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","instruction screen 2","q","","","","","","","","","","","",""
"","21125","html-keyboard-response","5","107733","0.0-5.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","instruction screen 3","p","","","","","","","","","","","",""
"","15399","html-keyboard-response","6","123144","0.0-6.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","instruction screen 4"," ","","","","","","","","","","","",""
"","16279","html-keyboard-response","7","139448","0.0-7.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","instruction screen 5","p","","","","","","","","","","","",""
"","null","html-keyboard-response","8","139976","0.0-8.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","140476","0.0-9.0-0.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","fixation cross","null","","","","","","","","","","","",""
"","2138","html-keyboard-response","10","142615","0.0-9.0-1.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","3000","ongrid","p","5","Ontogenetic","true","practice"
"","null","html-keyboard-response","11","142776","0.0-9.0-2.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","143991","0.0-9.0-3.0","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","144515","0.0-9.0-0.1","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","fixation cross","null","","","","","","","","","","","",""
"","1795","html-keyboard-response","14","146311","0.0-9.0-1.1","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2900","ongrid","p","7","Ontogenetic","true","practice"
"","null","html-keyboard-response","15","146466","0.0-9.0-2.1","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","147694","0.0-9.0-3.1","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","148202","0.0-9.0-0.2","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","fixation cross","null","","","","","","","","","","","",""
"","1165","html-keyboard-response","18","149367","0.0-9.0-1.2","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2800","ongrid","q","8","Ontogenetic","true","practice"
"","null","html-keyboard-response","19","149526","0.0-9.0-2.2","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","150728","0.0-9.0-3.2","DEJIFkxr5s","644ff5cdfdce8f493ccc6ca9","6617fad957f7c6a12ea16e26","6622cf21c230f86477d59bb6","feedback screen","null","","","","","","","","","","","",""
