"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1408","fullscreen","0","2451","0.0-0.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","","","","","","","","","","","","","",""
"","11131","html-keyboard-response","1","13584","0.0-1.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","14605","0.0-2.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","","","false","[]","[]","[]","","","","","","","",""
"","8123","html-keyboard-response","3","22728","0.0-3.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","instruction screen 1"," ","","","","","","","","","","","",""
"","7334","html-keyboard-response","4","30063","0.0-4.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","instruction screen 2","q","","","","","","","","","","","",""
"","2471","html-keyboard-response","5","32536","0.0-5.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","instruction screen 3","p","","","","","","","","","","","",""
"","5175","html-keyboard-response","6","37711","0.0-6.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","instruction screen 4"," ","","","","","","","","","","","",""
"","8240","html-keyboard-response","7","45952","0.0-7.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","46454","0.0-8.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","46969","0.0-9.0-0.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","50077","0.0-9.0-1.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","3218","html-keyboard-response","11","50295","0.0-9.0-2.0","DRgnFAZdEf","5d29187bd96c80001769ec41","6617fad957f7c6a12ea16e26","6622cf1d4d5abfe7dafd4380","mask grid","q","","","","","Phylogenetic_Distractor_Threat_target","onmask","3000","q","1","Phylogenetic","true","practice"
