"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2352","fullscreen","0","3355","0.0-0.0","DgUhojZR0x","5cf31154eed13700013c1417","6617fad957f7c6a12ea16e26","6622c1a135e0eaba40993a5a","","","","","","","","","","","","","",""
"","12351","html-keyboard-response","1","15709","0.0-1.0","DgUhojZR0x","5cf31154eed13700013c1417","6617fad957f7c6a12ea16e26","6622c1a135e0eaba40993a5a","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","18305","0.0-2.0","DgUhojZR0x","5cf31154eed13700013c1417","6617fad957f7c6a12ea16e26","6622c1a135e0eaba40993a5a","","","false","[]","[]","[]","","","","","","","",""
"","32053","html-keyboard-response","3","50360","0.0-3.0","DgUhojZR0x","5cf31154eed13700013c1417","6617fad957f7c6a12ea16e26","6622c1a135e0eaba40993a5a","instruction screen 1"," ","","","","","","","","","","","",""
"","7190","html-keyboard-response","4","57556","0.0-4.0","DgUhojZR0x","5cf31154eed13700013c1417","6617fad957f7c6a12ea16e26","6622c1a135e0eaba40993a5a","instruction screen 2","q","","","","","","","","","","","",""
"","3622","html-keyboard-response","5","61182","0.0-5.0","DgUhojZR0x","5cf31154eed13700013c1417","6617fad957f7c6a12ea16e26","6622c1a135e0eaba40993a5a","instruction screen 3","p","","","","","","","","","","","",""
"","3694","html-keyboard-response","6","64881","0.0-6.0","DgUhojZR0x","5cf31154eed13700013c1417","6617fad957f7c6a12ea16e26","6622c1a135e0eaba40993a5a","instruction screen 4"," ","","","","","","","","","","","",""
"","10635","html-keyboard-response","7","75522","0.0-7.0","DgUhojZR0x","5cf31154eed13700013c1417","6617fad957f7c6a12ea16e26","6622c1a135e0eaba40993a5a","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","76056","0.0-8.0","DgUhojZR0x","5cf31154eed13700013c1417","6617fad957f7c6a12ea16e26","6622c1a135e0eaba40993a5a","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","76558","0.0-9.0-0.0","DgUhojZR0x","5cf31154eed13700013c1417","6617fad957f7c6a12ea16e26","6622c1a135e0eaba40993a5a","fixation cross","null","","","","","","","","","","","",""
