"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1725","fullscreen","0","2729","0.0-0.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","","","","","","","","","","","","","",""
"","10316","html-keyboard-response","1","13049","0.0-1.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","instruction screen 0","n","","","","","","","","","","","",""
"true","","preload","2","17884","0.0-2.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","","","false","[]","[]","[]","","","","","","","",""
"","15085","html-keyboard-response","3","32971","0.0-3.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","instruction screen 1"," ","","","","","","","","","","","",""
"","7486","html-keyboard-response","4","40462","0.0-4.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","instruction screen 2","q","","","","","","","","","","","",""
"","3799","html-keyboard-response","5","44265","0.0-5.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","instruction screen 3","p","","","","","","","","","","","",""
"","4603","html-keyboard-response","6","48872","0.0-6.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","instruction screen 4"," ","","","","","","","","","","","",""
"","9437","html-keyboard-response","7","58314","0.0-7.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","58818","0.0-8.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","59320","0.0-9.0-0.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","62323","0.0-9.0-1.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","4284","html-keyboard-response","11","63607","0.0-9.0-2.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","mask grid","p","","","","","Phylogenetic_Distractor_notarget","onmask","3000"," ","9","Phylogenetic","false","practice"
"","null","html-keyboard-response","12","64812","0.0-9.0-3.0","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","65319","0.0-9.0-0.1","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","fixation cross","null","","","","","","","","","","","",""
"","1461","html-keyboard-response","14","66781","0.0-9.0-1.1","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","ongrid","2900","q","1","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","66934","0.0-9.0-2.1","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","68139","0.0-9.0-3.1","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","68645","0.0-9.0-0.2","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","fixation cross","null","","","","","","","","","","","",""
"","2182","html-keyboard-response","18","70829","0.0-9.0-1.2","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","ongrid","2800","q","7","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","70981","0.0-9.0-2.2","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","72186","0.0-9.0-3.2","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","72693","0.0-9.0-0.3","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","fixation cross","null","","","","","","","","","","","",""
"","1091","html-keyboard-response","22","73784","0.0-9.0-1.3","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","ongrid","2700","q","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","23","73937","0.0-9.0-2.3","F2u1GHJ1Ug","6400dde611c4534903252cba","6617fad957f7c6a12ea16e26","6622cf46c230f86477d59bbc","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
