"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","4326","fullscreen","0","5335","0.0-0.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","","","","","","","","","","","","","",""
"","8606","html-keyboard-response","1","13946","0.0-1.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","instruction screen 0","d","","","","","","","","","","","",""
"true","","preload","2","31013","0.0-2.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","","","false","[]","[]","[]","","","","","","","",""
"","9298","html-keyboard-response","3","40312","0.0-3.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","instruction screen 1"," ","","","","","","","","","","","",""
"","6180","html-keyboard-response","4","46497","0.0-4.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","instruction screen 2","q","","","","","","","","","","","",""
"","5228","html-keyboard-response","5","51731","0.0-5.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","instruction screen 3","p","","","","","","","","","","","",""
"","3208","html-keyboard-response","6","54945","0.0-6.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","instruction screen 4"," ","","","","","","","","","","","",""
"","786","html-keyboard-response","7","55737","0.0-7.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","56257","0.0-8.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","56766","0.0-9.0-0.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","59781","0.0-9.0-1.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","3000","html-keyboard-response","11","64782","0.0-9.0-2.0","FgJpACckK7","5e5de7a9151524109818ad6a","6617fad957f7c6a12ea16e26","6622cdf02dd9c81832be1f09","mask grid","null","","","","","Phylogenetic_Distractor_Nonthreat_target","onmask","3000","p","6","Ontogenetic","false","practice"
