"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2251","fullscreen","0","3255","0.0-0.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","","","","","","","","","","","","","",""
"","6280","html-keyboard-response","1","9538","0.0-1.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","11969","0.0-2.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","","","false","[]","[]","[]","","","","","","","",""
"","9790","html-keyboard-response","3","21760","0.0-3.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","instruction screen 1"," ","","","","","","","","","","","",""
"","5323","html-keyboard-response","4","27088","0.0-4.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","instruction screen 2","q","","","","","","","","","","","",""
"","2763","html-keyboard-response","5","29858","0.0-5.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","instruction screen 3","p","","","","","","","","","","","",""
"","2880","html-keyboard-response","6","32743","0.0-6.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","instruction screen 4"," ","","","","","","","","","","","",""
"","6945","html-keyboard-response","7","39693","0.0-7.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","40198","0.0-8.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","40700","0.0-9.0-0.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","fixation cross","null","","","","","","","","","","","",""
"","1167","html-keyboard-response","10","41868","0.0-9.0-1.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","3000","ongrid","p","4","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","42020","0.0-9.0-2.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","43225","0.0-9.0-3.0","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","43732","0.0-9.0-0.1","HiJEVLSaHw","65cb9e95bef5cb1d18b8517a","6617fad957f7c6a12ea16e26","6622cabf02abddf663c3d342","fixation cross","null","","","","","","","","","","","",""
