"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","5079","fullscreen","0","6083","0.0-0.0","KNIBpt1Fgk","59b1986ac05bb50001eb3a5f","6617fad957f7c6a12ea16e26","6622d009922a0fc246071b3b","","","","","","","","","","","","","",""
"","5024","html-keyboard-response","1","11111","0.0-1.0","KNIBpt1Fgk","59b1986ac05bb50001eb3a5f","6617fad957f7c6a12ea16e26","6622d009922a0fc246071b3b","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","12624","0.0-2.0","KNIBpt1Fgk","59b1986ac05bb50001eb3a5f","6617fad957f7c6a12ea16e26","6622d009922a0fc246071b3b","","","false","[]","[]","[]","","","","","","","",""
"","6650","html-keyboard-response","3","19275","0.0-3.0","KNIBpt1Fgk","59b1986ac05bb50001eb3a5f","6617fad957f7c6a12ea16e26","6622d009922a0fc246071b3b","instruction screen 1","enter","","","","","","","","","","","",""
"","8184","html-keyboard-response","4","27469","0.0-4.0","KNIBpt1Fgk","59b1986ac05bb50001eb3a5f","6617fad957f7c6a12ea16e26","6622d009922a0fc246071b3b","instruction screen 2","q","","","","","","","","","","","",""
"","3137","html-keyboard-response","5","30615","0.0-5.0","KNIBpt1Fgk","59b1986ac05bb50001eb3a5f","6617fad957f7c6a12ea16e26","6622d009922a0fc246071b3b","instruction screen 3","p","","","","","","","","","","","",""
"","2175","html-keyboard-response","6","32799","0.0-6.0","KNIBpt1Fgk","59b1986ac05bb50001eb3a5f","6617fad957f7c6a12ea16e26","6622d009922a0fc246071b3b","instruction screen 4"," ","","","","","","","","","","","",""
"","5799","html-keyboard-response","7","38606","0.0-7.0","KNIBpt1Fgk","59b1986ac05bb50001eb3a5f","6617fad957f7c6a12ea16e26","6622d009922a0fc246071b3b","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","39118","0.0-8.0","KNIBpt1Fgk","59b1986ac05bb50001eb3a5f","6617fad957f7c6a12ea16e26","6622d009922a0fc246071b3b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","39620","0.0-9.0-0.0","KNIBpt1Fgk","59b1986ac05bb50001eb3a5f","6617fad957f7c6a12ea16e26","6622d009922a0fc246071b3b","fixation cross","null","","","","","","","","","","","",""
