"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","59154","fullscreen","0","60175","0.0-0.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","","","","","","","","","","","","","",""
"","24415","html-keyboard-response","1","84591","0.0-1.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","instruction screen 0","arrowright","","","","","","","","","","","",""
"true","","preload","2","87110","0.0-2.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","","","false","[]","[]","[]","","","","","","","",""
"","6485","html-keyboard-response","3","93596","0.0-3.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","instruction screen 1","arrowright","","","","","","","","","","","",""
"","6597","html-keyboard-response","4","100212","0.0-4.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","instruction screen 2","q","","","","","","","","","","","",""
"","2973","html-keyboard-response","5","103203","0.0-5.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","instruction screen 3","p","","","","","","","","","","","",""
"","1920","html-keyboard-response","6","105142","0.0-6.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","instruction screen 4"," ","","","","","","","","","","","",""
"","1067","html-keyboard-response","7","106211","0.0-7.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","106714","0.0-8.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","107218","0.0-9.0-0.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","110222","0.0-9.0-1.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","3924","html-keyboard-response","11","111146","0.0-9.0-2.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","mask grid","p","","","","","Phylogenetic_Distractor_Threat_target","onmask","3000","q","7","Ontogenetic","false","practice"
"","null","html-keyboard-response","12","112364","0.0-9.0-3.0","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","112874","0.0-9.0-0.1","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","fixation cross","null","","","","","","","","","","","",""
"","2523","html-keyboard-response","14","115397","0.0-9.0-1.1","NRmXToZJYS","65eb5fae5d67438e95786d00","6617fad957f7c6a12ea16e26","6622cf45afefd392cfa1f4ed","image grid","p","","","","","Ontogenetic_Distractor_Threat_target","ongrid","2900","q","1","Ontogenetic","false","practice"
