"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2040","fullscreen","0","3055","0.0-0.0","NVEfr0BLDs","5a3d4ffddaea400001ac15af","6617fad957f7c6a12ea16e26","6622cfea0e646e9171dce3c0","","","","","","","","","","","","","",""
"","9175","html-keyboard-response","1","12232","0.0-1.0","NVEfr0BLDs","5a3d4ffddaea400001ac15af","6617fad957f7c6a12ea16e26","6622cfea0e646e9171dce3c0","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","13074","0.0-2.0","NVEfr0BLDs","5a3d4ffddaea400001ac15af","6617fad957f7c6a12ea16e26","6622cfea0e646e9171dce3c0","","","false","[]","[]","[]","","","","","","","",""
"","5926","html-keyboard-response","3","19000","0.0-3.0","NVEfr0BLDs","5a3d4ffddaea400001ac15af","6617fad957f7c6a12ea16e26","6622cfea0e646e9171dce3c0","instruction screen 1"," ","","","","","","","","","","","",""
"","4310","html-keyboard-response","4","23313","0.0-4.0","NVEfr0BLDs","5a3d4ffddaea400001ac15af","6617fad957f7c6a12ea16e26","6622cfea0e646e9171dce3c0","instruction screen 2","q","","","","","","","","","","","",""
"","2806","html-keyboard-response","5","26120","0.0-5.0","NVEfr0BLDs","5a3d4ffddaea400001ac15af","6617fad957f7c6a12ea16e26","6622cfea0e646e9171dce3c0","instruction screen 3","p","","","","","","","","","","","",""
"","2365","html-keyboard-response","6","28488","0.0-6.0","NVEfr0BLDs","5a3d4ffddaea400001ac15af","6617fad957f7c6a12ea16e26","6622cfea0e646e9171dce3c0","instruction screen 4"," ","","","","","","","","","","","",""
"","1351","html-keyboard-response","7","29841","0.0-7.0","NVEfr0BLDs","5a3d4ffddaea400001ac15af","6617fad957f7c6a12ea16e26","6622cfea0e646e9171dce3c0","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","30354","0.0-8.0","NVEfr0BLDs","5a3d4ffddaea400001ac15af","6617fad957f7c6a12ea16e26","6622cfea0e646e9171dce3c0","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","30864","0.0-9.0-0.0","NVEfr0BLDs","5a3d4ffddaea400001ac15af","6617fad957f7c6a12ea16e26","6622cfea0e646e9171dce3c0","fixation cross","null","","","","","","","","","","","",""
"","1560","html-keyboard-response","10","32425","0.0-9.0-1.0","NVEfr0BLDs","5a3d4ffddaea400001ac15af","6617fad957f7c6a12ea16e26","6622cfea0e646e9171dce3c0","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","3000","ongrid","q","4","Ontogenetic","true","practice"
