"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","3524","fullscreen","0","4533","0.0-0.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","","","","","","","","","","","","","",""
"","11038","html-keyboard-response","1","15573","0.0-1.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","35324","0.0-2.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","","","false","[]","[]","[]","","","","","","","",""
"","13965","html-keyboard-response","3","49291","0.0-3.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","instruction screen 1"," ","","","","","","","","","","","",""
"","8934","html-keyboard-response","4","58229","0.0-4.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","instruction screen 2","q","","","","","","","","","","","",""
"","4360","html-keyboard-response","5","62592","0.0-5.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","instruction screen 3","p","","","","","","","","","","","",""
"","5391","html-keyboard-response","6","68011","0.0-6.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","instruction screen 4"," ","","","","","","","","","","","",""
"","10439","html-keyboard-response","7","78480","0.0-7.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","79020","0.0-8.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","79528","0.0-9.0-0.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","82539","0.0-9.0-1.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","7614","html-keyboard-response","11","87180","0.0-9.0-2.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","mask grid","q","","","","","Ontogenetic_Distractor_Threat_target","onmask","3000","q","9","Ontogenetic","true","practice"
"","null","html-keyboard-response","12","88423","0.0-9.0-3.0","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","88937","0.0-9.0-0.1","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","fixation cross","null","","","","","","","","","","","",""
"","1900","html-keyboard-response","14","90838","0.0-9.0-1.1","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","ongrid","2900","p","6","Ontogenetic","true","practice"
"","null","html-keyboard-response","15","90991","0.0-9.0-2.1","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","92202","0.0-9.0-3.1","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","92719","0.0-9.0-0.2","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","18","95533","0.0-9.0-1.2","Nm7jV7Ukaj","5fa8b4123a3f0d7a4aab8ef3","6617fad957f7c6a12ea16e26","6622cc9db3478e60a989c164","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
