"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2945","fullscreen","0","3948","0.0-0.0","OcsDv4CBT9","65fedd69bd65bd4eab478192","6617fad957f7c6a12ea16e26","6622cca1de5c5465f45ded2f","","","","","","","","","","","","","",""
"","16665","html-keyboard-response","1","20614","0.0-1.0","OcsDv4CBT9","65fedd69bd65bd4eab478192","6617fad957f7c6a12ea16e26","6622cca1de5c5465f45ded2f","instruction screen 0","enter","","","","","","","","","","","",""
"true","","preload","2","21309","0.0-2.0","OcsDv4CBT9","65fedd69bd65bd4eab478192","6617fad957f7c6a12ea16e26","6622cca1de5c5465f45ded2f","","","false","[]","[]","[]","","","","","","","",""
"","12693","html-keyboard-response","3","34006","0.0-3.0","OcsDv4CBT9","65fedd69bd65bd4eab478192","6617fad957f7c6a12ea16e26","6622cca1de5c5465f45ded2f","instruction screen 1","enter","","","","","","","","","","","",""
"","9302","html-keyboard-response","4","43310","0.0-4.0","OcsDv4CBT9","65fedd69bd65bd4eab478192","6617fad957f7c6a12ea16e26","6622cca1de5c5465f45ded2f","instruction screen 2","q","","","","","","","","","","","",""
"","7519","html-keyboard-response","5","50830","0.0-5.0","OcsDv4CBT9","65fedd69bd65bd4eab478192","6617fad957f7c6a12ea16e26","6622cca1de5c5465f45ded2f","instruction screen 3","p","","","","","","","","","","","",""
"","7910","html-keyboard-response","6","58742","0.0-6.0","OcsDv4CBT9","65fedd69bd65bd4eab478192","6617fad957f7c6a12ea16e26","6622cca1de5c5465f45ded2f","instruction screen 4"," ","","","","","","","","","","","",""
"","12271","html-keyboard-response","7","71015","0.0-7.0","OcsDv4CBT9","65fedd69bd65bd4eab478192","6617fad957f7c6a12ea16e26","6622cca1de5c5465f45ded2f","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","71550","0.0-8.0","OcsDv4CBT9","65fedd69bd65bd4eab478192","6617fad957f7c6a12ea16e26","6622cca1de5c5465f45ded2f","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","72063","0.0-9.0-0.0","OcsDv4CBT9","65fedd69bd65bd4eab478192","6617fad957f7c6a12ea16e26","6622cca1de5c5465f45ded2f","fixation cross","null","","","","","","","","","","","",""
