"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2332","fullscreen","0","3342","0.0-0.0","PySjZ5ENc8","5b06efd1732c5d000154de23","6617fad957f7c6a12ea16e26","6622cf82e4fc4fafc94931f3","","","","","","","","","","","","","",""
"","7108","html-keyboard-response","1","10453","0.0-1.0","PySjZ5ENc8","5b06efd1732c5d000154de23","6617fad957f7c6a12ea16e26","6622cf82e4fc4fafc94931f3","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","13835","0.0-2.0","PySjZ5ENc8","5b06efd1732c5d000154de23","6617fad957f7c6a12ea16e26","6622cf82e4fc4fafc94931f3","","","false","[]","[]","[]","","","","","","","",""
"","8344","html-keyboard-response","3","22180","0.0-3.0","PySjZ5ENc8","5b06efd1732c5d000154de23","6617fad957f7c6a12ea16e26","6622cf82e4fc4fafc94931f3","instruction screen 1"," ","","","","","","","","","","","",""
"","8908","html-keyboard-response","4","31090","0.0-4.0","PySjZ5ENc8","5b06efd1732c5d000154de23","6617fad957f7c6a12ea16e26","6622cf82e4fc4fafc94931f3","instruction screen 2","q","","","","","","","","","","","",""
"","3116","html-keyboard-response","5","34209","0.0-5.0","PySjZ5ENc8","5b06efd1732c5d000154de23","6617fad957f7c6a12ea16e26","6622cf82e4fc4fafc94931f3","instruction screen 3","p","","","","","","","","","","","",""
"","5160","html-keyboard-response","6","39371","0.0-6.0","PySjZ5ENc8","5b06efd1732c5d000154de23","6617fad957f7c6a12ea16e26","6622cf82e4fc4fafc94931f3","instruction screen 4"," ","","","","","","","","","","","",""
"","4075","html-keyboard-response","7","43449","0.0-7.0","PySjZ5ENc8","5b06efd1732c5d000154de23","6617fad957f7c6a12ea16e26","6622cf82e4fc4fafc94931f3","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","43956","0.0-8.0","PySjZ5ENc8","5b06efd1732c5d000154de23","6617fad957f7c6a12ea16e26","6622cf82e4fc4fafc94931f3","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","44463","0.0-9.0-0.0","PySjZ5ENc8","5b06efd1732c5d000154de23","6617fad957f7c6a12ea16e26","6622cf82e4fc4fafc94931f3","fixation cross","null","","","","","","","","","","","",""
