"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2851","fullscreen","0","3868","0.0-0.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","","","","","","","","","","","","","",""
"","6580","html-keyboard-response","1","10450","0.0-1.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","12561","0.0-2.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","","","false","[]","[]","[]","","","","","","","",""
"","8943","html-keyboard-response","3","21505","0.0-3.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","instruction screen 1"," ","","","","","","","","","","","",""
"","9150","html-keyboard-response","4","30656","0.0-4.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","instruction screen 2","q","","","","","","","","","","","",""
"","3712","html-keyboard-response","5","34369","0.0-5.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","instruction screen 3","p","","","","","","","","","","","",""
"","2872","html-keyboard-response","6","37241","0.0-6.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","instruction screen 4"," ","","","","","","","","","","","",""
"","7240","html-keyboard-response","7","44481","0.0-7.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","44984","0.0-8.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","45486","0.0-9.0-0.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","fixation cross","null","","","","","","","","","","","",""
"","2618","html-keyboard-response","10","48105","0.0-9.0-1.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","3000","ongrid","p","4","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","48260","0.0-9.0-2.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","49465","0.0-9.0-3.0","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","49966","0.0-9.0-0.1","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","fixation cross","null","","","","","","","","","","","",""
"","1754","html-keyboard-response","14","51720","0.0-9.0-1.1","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","image grid"," ","","","","","Ontogenetic_Distractor_notarget","2900","ongrid"," ","9","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","51876","0.0-9.0-2.1","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","53084","0.0-9.0-3.1","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","53585","0.0-9.0-0.2","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","fixation cross","null","","","","","","","","","","","",""
"","2335","html-keyboard-response","18","55921","0.0-9.0-1.2","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","image grid"," ","","","","","Phylogenetic_Distractor_notarget","2800","ongrid"," ","6","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","56078","0.0-9.0-2.2","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","57281","0.0-9.0-3.2","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","57782","0.0-9.0-0.3","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","fixation cross","null","","","","","","","","","","","",""
"","1538","html-keyboard-response","22","59320","0.0-9.0-1.3","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2700","ongrid","q","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","23","59481","0.0-9.0-2.3","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","60684","0.0-9.0-3.3","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","61185","0.0-9.0-0.4","VZLXR5QrXu","63c34086cb929e7c9b844a67","6617fad957f7c6a12ea16e26","6622cf0da83cde040ac06e69","fixation cross","null","","","","","","","","","","","",""
