"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","4344","fullscreen","0","5351","0.0-0.0","Wwc8LXevUt","650d7a81776dae5a035513ad","6617fad957f7c6a12ea16e26","6622cce2c6838027d30c7022","","","","","","","","","","","","","",""
"","25256","html-keyboard-response","1","30614","0.0-1.0","Wwc8LXevUt","650d7a81776dae5a035513ad","6617fad957f7c6a12ea16e26","6622cce2c6838027d30c7022","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","41464","0.0-2.0","Wwc8LXevUt","650d7a81776dae5a035513ad","6617fad957f7c6a12ea16e26","6622cce2c6838027d30c7022","","","false","[]","[]","[]","","","","","","","",""
"","36434","html-keyboard-response","3","77901","0.0-3.0","Wwc8LXevUt","650d7a81776dae5a035513ad","6617fad957f7c6a12ea16e26","6622cce2c6838027d30c7022","instruction screen 1"," ","","","","","","","","","","","",""
"","12399","html-keyboard-response","4","90382","0.0-4.0","Wwc8LXevUt","650d7a81776dae5a035513ad","6617fad957f7c6a12ea16e26","6622cce2c6838027d30c7022","instruction screen 2","q","","","","","","","","","","","",""
"","8531","html-keyboard-response","5","98994","0.0-5.0","Wwc8LXevUt","650d7a81776dae5a035513ad","6617fad957f7c6a12ea16e26","6622cce2c6838027d30c7022","instruction screen 3","p","","","","","","","","","","","",""
"","8397","html-keyboard-response","6","107474","0.0-6.0","Wwc8LXevUt","650d7a81776dae5a035513ad","6617fad957f7c6a12ea16e26","6622cce2c6838027d30c7022","instruction screen 4"," ","","","","","","","","","","","",""
"","17386","html-keyboard-response","7","124942","0.0-7.0","Wwc8LXevUt","650d7a81776dae5a035513ad","6617fad957f7c6a12ea16e26","6622cce2c6838027d30c7022","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","125535","0.0-8.0","Wwc8LXevUt","650d7a81776dae5a035513ad","6617fad957f7c6a12ea16e26","6622cce2c6838027d30c7022","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","126041","0.0-9.0-0.0","Wwc8LXevUt","650d7a81776dae5a035513ad","6617fad957f7c6a12ea16e26","6622cce2c6838027d30c7022","fixation cross","null","","","","","","","","","","","",""
