"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2328","fullscreen","0","3331","0.0-0.0","ZApwugu7XI","5beccd423b6489000156596f","6617fad957f7c6a12ea16e26","6622dee863a409274c7ee538","","","","","","","","","","","","","",""
"","6181","html-keyboard-response","1","9513","0.0-1.0","ZApwugu7XI","5beccd423b6489000156596f","6617fad957f7c6a12ea16e26","6622dee863a409274c7ee538","instruction screen 0","enter","","","","","","","","","","","",""
"true","","preload","2","15138","0.0-2.0","ZApwugu7XI","5beccd423b6489000156596f","6617fad957f7c6a12ea16e26","6622dee863a409274c7ee538","","","false","[]","[]","[]","","","","","","","",""
"","14889","html-keyboard-response","3","30028","0.0-3.0","ZApwugu7XI","5beccd423b6489000156596f","6617fad957f7c6a12ea16e26","6622dee863a409274c7ee538","instruction screen 1","enter","","","","","","","","","","","",""
"","4940","html-keyboard-response","4","34970","0.0-4.0","ZApwugu7XI","5beccd423b6489000156596f","6617fad957f7c6a12ea16e26","6622dee863a409274c7ee538","instruction screen 2","q","","","","","","","","","","","",""
"","9714","html-keyboard-response","5","44685","0.0-5.0","ZApwugu7XI","5beccd423b6489000156596f","6617fad957f7c6a12ea16e26","6622dee863a409274c7ee538","instruction screen 3","p","","","","","","","","","","","",""
"","4072","html-keyboard-response","6","48759","0.0-6.0","ZApwugu7XI","5beccd423b6489000156596f","6617fad957f7c6a12ea16e26","6622dee863a409274c7ee538","instruction screen 4"," ","","","","","","","","","","","",""
"","9399","html-keyboard-response","7","58160","0.0-7.0","ZApwugu7XI","5beccd423b6489000156596f","6617fad957f7c6a12ea16e26","6622dee863a409274c7ee538","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","58676","0.0-8.0","ZApwugu7XI","5beccd423b6489000156596f","6617fad957f7c6a12ea16e26","6622dee863a409274c7ee538","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","59181","0.0-9.0-0.0","ZApwugu7XI","5beccd423b6489000156596f","6617fad957f7c6a12ea16e26","6622dee863a409274c7ee538","fixation cross","null","","","","","","","","","","","",""
