"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1827","fullscreen","0","2829","0.0-0.0","bFaWd5iBub","655f8b6aead3b1448f52681b","6617fad957f7c6a12ea16e26","6622ce527487f6286fd59cc3","","","","","","","","","","","","","",""
"","4431","html-keyboard-response","1","7262","0.0-1.0","bFaWd5iBub","655f8b6aead3b1448f52681b","6617fad957f7c6a12ea16e26","6622ce527487f6286fd59cc3","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","7986","0.0-2.0","bFaWd5iBub","655f8b6aead3b1448f52681b","6617fad957f7c6a12ea16e26","6622ce527487f6286fd59cc3","","","false","[]","[]","[]","","","","","","","",""
"","6488","html-keyboard-response","3","14475","0.0-3.0","bFaWd5iBub","655f8b6aead3b1448f52681b","6617fad957f7c6a12ea16e26","6622ce527487f6286fd59cc3","instruction screen 1"," ","","","","","","","","","","","",""
"","7335","html-keyboard-response","4","21812","0.0-4.0","bFaWd5iBub","655f8b6aead3b1448f52681b","6617fad957f7c6a12ea16e26","6622ce527487f6286fd59cc3","instruction screen 2","q","","","","","","","","","","","",""
"","3230","html-keyboard-response","5","25044","0.0-5.0","bFaWd5iBub","655f8b6aead3b1448f52681b","6617fad957f7c6a12ea16e26","6622ce527487f6286fd59cc3","instruction screen 3","p","","","","","","","","","","","",""
"","6007","html-keyboard-response","6","31056","0.0-6.0","bFaWd5iBub","655f8b6aead3b1448f52681b","6617fad957f7c6a12ea16e26","6622ce527487f6286fd59cc3","instruction screen 4"," ","","","","","","","","","","","",""
"","9147","html-keyboard-response","7","40205","0.0-7.0","bFaWd5iBub","655f8b6aead3b1448f52681b","6617fad957f7c6a12ea16e26","6622ce527487f6286fd59cc3","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","40712","0.0-8.0","bFaWd5iBub","655f8b6aead3b1448f52681b","6617fad957f7c6a12ea16e26","6622ce527487f6286fd59cc3","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","41216","0.0-9.0-0.0","bFaWd5iBub","655f8b6aead3b1448f52681b","6617fad957f7c6a12ea16e26","6622ce527487f6286fd59cc3","fixation cross","null","","","","","","","","","","","",""
"","946","html-keyboard-response","10","42162","0.0-9.0-1.0","bFaWd5iBub","655f8b6aead3b1448f52681b","6617fad957f7c6a12ea16e26","6622ce527487f6286fd59cc3","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","3000","ongrid","q","4","Ontogenetic","true","practice"
