"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","4654","fullscreen","0","5662","0.0-0.0","bYlzHPOxUs","63e541874bfc845f9ff78828","6617fad957f7c6a12ea16e26","6622cfddd663757775a67a56","","","","","","","","","","","","","",""
"","12987","html-keyboard-response","1","18653","0.0-1.0","bYlzHPOxUs","63e541874bfc845f9ff78828","6617fad957f7c6a12ea16e26","6622cfddd663757775a67a56","instruction screen 0","enter","","","","","","","","","","","",""
"true","","preload","2","20657","0.0-2.0","bYlzHPOxUs","63e541874bfc845f9ff78828","6617fad957f7c6a12ea16e26","6622cfddd663757775a67a56","","","false","[]","[]","[]","","","","","","","",""
"","15128","html-keyboard-response","3","35786","0.0-3.0","bYlzHPOxUs","63e541874bfc845f9ff78828","6617fad957f7c6a12ea16e26","6622cfddd663757775a67a56","instruction screen 1","enter","","","","","","","","","","","",""
"","9564","html-keyboard-response","4","45354","0.0-4.0","bYlzHPOxUs","63e541874bfc845f9ff78828","6617fad957f7c6a12ea16e26","6622cfddd663757775a67a56","instruction screen 2","q","","","","","","","","","","","",""
"","5097","html-keyboard-response","5","50460","0.0-5.0","bYlzHPOxUs","63e541874bfc845f9ff78828","6617fad957f7c6a12ea16e26","6622cfddd663757775a67a56","instruction screen 3","p","","","","","","","","","","","",""
"","19174","html-keyboard-response","6","69641","0.0-6.0","bYlzHPOxUs","63e541874bfc845f9ff78828","6617fad957f7c6a12ea16e26","6622cfddd663757775a67a56","instruction screen 4"," ","","","","","","","","","","","",""
"","9360","html-keyboard-response","7","79049","0.0-7.0","bYlzHPOxUs","63e541874bfc845f9ff78828","6617fad957f7c6a12ea16e26","6622cfddd663757775a67a56","instruction screen 5","enter","","","","","","","","","","","",""
"","null","html-keyboard-response","8","79592","0.0-8.0","bYlzHPOxUs","63e541874bfc845f9ff78828","6617fad957f7c6a12ea16e26","6622cfddd663757775a67a56","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","80093","0.0-9.0-0.0","bYlzHPOxUs","63e541874bfc845f9ff78828","6617fad957f7c6a12ea16e26","6622cfddd663757775a67a56","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","83095","0.0-9.0-1.0","bYlzHPOxUs","63e541874bfc845f9ff78828","6617fad957f7c6a12ea16e26","6622cfddd663757775a67a56","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
