"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1995","fullscreen","0","3005","0.0-0.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","","","","","","","","","","","","","",""
"","16106","html-keyboard-response","1","19115","0.0-1.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","34064","0.0-2.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","","","false","[]","[]","[]","","","","","","","",""
"","32057","html-keyboard-response","3","66121","0.0-3.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","instruction screen 1"," ","","","","","","","","","","","",""
"","18934","html-keyboard-response","4","85109","0.0-4.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","instruction screen 2","q","","","","","","","","","","","",""
"","10396","html-keyboard-response","5","95553","0.0-5.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","instruction screen 3","p","","","","","","","","","","","",""
"","13368","html-keyboard-response","6","108966","0.0-6.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","instruction screen 4"," ","","","","","","","","","","","",""
"","111030","html-keyboard-response","7","220048","0.0-7.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","220606","0.0-8.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","221121","0.0-9.0-0.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","224134","0.0-9.0-1.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","5392","html-keyboard-response","11","226576","0.0-9.0-2.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","mask grid","p","","","","","Phylogenetic_Distractor_Threat_target","onmask","3000","q","9","Phylogenetic","false","practice"
"","null","html-keyboard-response","12","227789","0.0-9.0-3.0","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","228301","0.0-9.0-0.1","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","fixation cross","null","","","","","","","","","","","",""
"","2341","html-keyboard-response","14","230643","0.0-9.0-1.1","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","ongrid","2900","p","9","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","230807","0.0-9.0-2.1","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","232014","0.0-9.0-3.1","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","232519","0.0-9.0-0.2","cTbgEnL1fJ","61632b52ab37a7fde834300f","6617fad957f7c6a12ea16e26","6622cb9b500b1ee2fa2ccf00","fixation cross","null","","","","","","","","","","","",""
