"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","3891","fullscreen","0","4894","0.0-0.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","","","","","","","","","","","","","",""
"","10011","html-keyboard-response","1","14907","0.0-1.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","instruction screen 0","arrowright","","","","","","","","","","","",""
"true","","preload","2","16979","0.0-2.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","","","false","[]","[]","[]","","","","","","","",""
"","12315","html-keyboard-response","3","29295","0.0-3.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","instruction screen 1","arrowright","","","","","","","","","","","",""
"","7805","html-keyboard-response","4","37104","0.0-4.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","instruction screen 2","q","","","","","","","","","","","",""
"","5556","html-keyboard-response","5","42664","0.0-5.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","instruction screen 3","p","","","","","","","","","","","",""
"","4753","html-keyboard-response","6","47422","0.0-6.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","instruction screen 4"," ","","","","","","","","","","","",""
"","7673","html-keyboard-response","7","55098","0.0-7.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","55604","0.0-8.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","56105","0.0-9.0-0.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","fixation cross","null","","","","","","","","","","","",""
"","2472","html-keyboard-response","10","58578","0.0-9.0-1.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","image grid"," ","","","","","Phylogenetic_Distractor_notarget","3000","ongrid"," ","6","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","58730","0.0-9.0-2.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","59932","0.0-9.0-3.0","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","60438","0.0-9.0-0.1","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","fixation cross","null","","","","","","","","","","","",""
"","1437","html-keyboard-response","14","61875","0.0-9.0-1.1","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2900","ongrid","p","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","62027","0.0-9.0-2.1","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","63231","0.0-9.0-3.1","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","63738","0.0-9.0-0.2","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","fixation cross","null","","","","","","","","","","","",""
"","1681","html-keyboard-response","18","65419","0.0-9.0-1.2","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","2800","ongrid","q","4","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","65571","0.0-9.0-2.2","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","66774","0.0-9.0-3.2","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","67280","0.0-9.0-0.3","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","fixation cross","null","","","","","","","","","","","",""
"","1617","html-keyboard-response","22","68898","0.0-9.0-1.3","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","image grid"," ","","","","","Ontogenetic_Distractor_notarget","2700","ongrid"," ","7","Phylogenetic","true","practice"
"","null","html-keyboard-response","23","69050","0.0-9.0-2.3","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","70253","0.0-9.0-3.3","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","70759","0.0-9.0-0.4","jBahbwUlSg","66226d60cef946159f07d0f7","6617fad957f7c6a12ea16e26","6622cf6b540afcab7fc7abfc","fixation cross","null","","","","","","","","","","","",""
