"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2303","fullscreen","0","3313","0.0-0.0","jTsrEgDTmP","5ddd730ffce606ce31a105d4","6617fad957f7c6a12ea16e26","6622cc85ee910cdaa54dbb9b","","","","","","","","","","","","","",""
"","14790","html-keyboard-response","1","18107","0.0-1.0","jTsrEgDTmP","5ddd730ffce606ce31a105d4","6617fad957f7c6a12ea16e26","6622cc85ee910cdaa54dbb9b","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","20587","0.0-2.0","jTsrEgDTmP","5ddd730ffce606ce31a105d4","6617fad957f7c6a12ea16e26","6622cc85ee910cdaa54dbb9b","","","false","[]","[]","[]","","","","","","","",""
"","24983","html-keyboard-response","3","45570","0.0-3.0","jTsrEgDTmP","5ddd730ffce606ce31a105d4","6617fad957f7c6a12ea16e26","6622cc85ee910cdaa54dbb9b","instruction screen 1"," ","","","","","","","","","","","",""
"","12757","html-keyboard-response","4","58337","0.0-4.0","jTsrEgDTmP","5ddd730ffce606ce31a105d4","6617fad957f7c6a12ea16e26","6622cc85ee910cdaa54dbb9b","instruction screen 2","q","","","","","","","","","","","",""
"","9706","html-keyboard-response","5","68053","0.0-5.0","jTsrEgDTmP","5ddd730ffce606ce31a105d4","6617fad957f7c6a12ea16e26","6622cc85ee910cdaa54dbb9b","instruction screen 3","p","","","","","","","","","","","",""
"","21244","html-keyboard-response","6","89300","0.0-6.0","jTsrEgDTmP","5ddd730ffce606ce31a105d4","6617fad957f7c6a12ea16e26","6622cc85ee910cdaa54dbb9b","instruction screen 4"," ","","","","","","","","","","","",""
"","24194","html-keyboard-response","7","113513","0.0-7.0","jTsrEgDTmP","5ddd730ffce606ce31a105d4","6617fad957f7c6a12ea16e26","6622cc85ee910cdaa54dbb9b","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","114035","0.0-8.0","jTsrEgDTmP","5ddd730ffce606ce31a105d4","6617fad957f7c6a12ea16e26","6622cc85ee910cdaa54dbb9b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","114538","0.0-9.0-0.0","jTsrEgDTmP","5ddd730ffce606ce31a105d4","6617fad957f7c6a12ea16e26","6622cc85ee910cdaa54dbb9b","fixation cross","null","","","","","","","","","","","",""
"","1831","html-keyboard-response","10","116372","0.0-9.0-1.0","jTsrEgDTmP","5ddd730ffce606ce31a105d4","6617fad957f7c6a12ea16e26","6622cc85ee910cdaa54dbb9b","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","3000","ongrid","q","9","Phylogenetic","true","practice"
