"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2933","fullscreen","0","3938","0.0-0.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","","","","","","","","","","","","","",""
"","37779","html-keyboard-response","1","41721","0.0-1.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","instruction screen 0","m","","","","","","","","","","","",""
"true","","preload","2","48609","0.0-2.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","","","false","[]","[]","[]","","","","","","","",""
"","24912","html-keyboard-response","3","73523","0.0-3.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","instruction screen 1","l","","","","","","","","","","","",""
"","21583","html-keyboard-response","4","95138","0.0-4.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","instruction screen 2","q","","","","","","","","","","","",""
"","9080","html-keyboard-response","5","104268","0.0-5.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","instruction screen 3","p","","","","","","","","","","","",""
"","13043","html-keyboard-response","6","117354","0.0-6.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","instruction screen 4"," ","","","","","","","","","","","",""
"","19044","html-keyboard-response","7","136429","0.0-7.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","136987","0.0-8.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","137488","0.0-9.0-0.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","fixation cross","null","","","","","","","","","","","",""
"","1582","html-keyboard-response","10","139071","0.0-9.0-1.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","3000","ongrid","q","6","Ontogenetic","true","practice"
"","null","html-keyboard-response","11","139231","0.0-9.0-2.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","140448","0.0-9.0-3.0","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","140964","0.0-9.0-0.1","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","fixation cross","null","","","","","","","","","","","",""
"","1594","html-keyboard-response","14","142558","0.0-9.0-1.1","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","image grid"," ","","","","","Ontogenetic_Distractor_notarget","2900","ongrid"," ","9","Ontogenetic","true","practice"
"","null","html-keyboard-response","15","142712","0.0-9.0-2.1","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","143921","0.0-9.0-3.1","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","feedback screen","null","","","","","","","","","","","",""
"","128","html-keyboard-response","17","144427","0.0-9.0-0.2","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","fixation cross"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","18","147240","0.0-9.0-1.2","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","6987","html-keyboard-response","19","151429","0.0-9.0-2.2","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","mask grid","q","","","","","Phylogenetic_Distractor_Threat_target","2800","onmask","q","2","Ontogenetic","true","practice"
"","null","html-keyboard-response","20","152640","0.0-9.0-3.2","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","153152","0.0-9.0-0.3","lx4ndEBa7j","6500c32aeecc75706e1bcaf1","6617fad957f7c6a12ea16e26","6622ce61afefd392cfa1f4bb","fixation cross","null","","","","","","","","","","","",""
