"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","4815","fullscreen","0","5887","0.0-0.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","","","","","","","","","","","","","",""
"","21128","html-keyboard-response","1","27019","0.0-1.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","instruction screen 0","f","","","","","","","","","","","",""
"true","","preload","2","89306","0.0-2.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","","","false","[]","[]","[]","","","","","","","",""
"","16334","html-keyboard-response","3","105642","0.0-3.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","instruction screen 1","f","","","","","","","","","","","",""
"","2469","html-keyboard-response","4","108114","0.0-4.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","instruction screen 2","q","","","","","","","","","","","",""
"","2014","html-keyboard-response","5","110130","0.0-5.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","instruction screen 3","p","","","","","","","","","","","",""
"","7480","html-keyboard-response","6","117613","0.0-6.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","instruction screen 4"," ","","","","","","","","","","","",""
"","5992","html-keyboard-response","7","123607","0.0-7.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","124116","0.0-8.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","124618","0.0-9.0-0.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","fixation cross","null","","","","","","","","","","","",""
"","2262","html-keyboard-response","10","126881","0.0-9.0-1.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","image grid"," ","","","","","Phylogenetic_Distractor_notarget","3000","ongrid"," ","6","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","127035","0.0-9.0-2.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","128246","0.0-9.0-3.0","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","128748","0.0-9.0-0.1","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","fixation cross","null","","","","","","","","","","","",""
"","2046","html-keyboard-response","14","130795","0.0-9.0-1.1","ly4nYM8zD0","656c9226c395c0344a63c586","6617fad957f7c6a12ea16e26","6622cf2936d1666a9ba2e961","image grid","q","","","","","Ontogenetic_Distractor_Nonthreat_target","2900","ongrid","p","8","Phylogenetic","false","practice"
