"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1656","fullscreen","0","2660","0.0-0.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","","","","","","","","","","","","","",""
"","12608","html-keyboard-response","1","15268","0.0-1.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","instruction screen 0","enter","","","","","","","","","","","",""
"true","","preload","2","17578","0.0-2.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","","","false","[]","[]","[]","","","","","","","",""
"","12370","html-keyboard-response","3","29949","0.0-3.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","instruction screen 1","enter","","","","","","","","","","","",""
"","7383","html-keyboard-response","4","37334","0.0-4.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","instruction screen 2","q","","","","","","","","","","","",""
"","7112","html-keyboard-response","5","44447","0.0-5.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","instruction screen 3","p","","","","","","","","","","","",""
"","2623","html-keyboard-response","6","47071","0.0-6.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","instruction screen 4"," ","","","","","","","","","","","",""
"","5382","html-keyboard-response","7","52454","0.0-7.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","52966","0.0-8.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","53474","0.0-9.0-0.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","fixation cross","null","","","","","","","","","","","",""
"","1338","html-keyboard-response","10","54813","0.0-9.0-1.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","image grid","p","","","","","Ontogenetic_Distractor_Threat_target","3000","ongrid","q","7","Phylogenetic","false","practice"
"","null","html-keyboard-response","11","54965","0.0-9.0-2.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","56182","0.0-9.0-3.0","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","56688","0.0-9.0-0.1","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","fixation cross","null","","","","","","","","","","","",""
"","1265","html-keyboard-response","14","57954","0.0-9.0-1.1","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2900","ongrid","p","7","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","58111","0.0-9.0-2.1","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","59322","0.0-9.0-3.1","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","59824","0.0-9.0-0.2","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","fixation cross","null","","","","","","","","","","","",""
"","1317","html-keyboard-response","18","61141","0.0-9.0-1.2","mZcm8SKYtI","6317457367495fa60d79d84e","6617fad957f7c6a12ea16e26","6622ce93b2e61b7d40ff1938","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2800","ongrid","q","8","Phylogenetic","true","practice"
