"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1580","fullscreen","0","2587","0.0-0.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","","","","","","","","","","","","","",""
"","18290","html-keyboard-response","1","20881","0.0-1.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","22950","0.0-2.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","","","false","[]","[]","[]","","","","","","","",""
"","35184","html-keyboard-response","3","58139","0.0-3.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","instruction screen 1"," ","","","","","","","","","","","",""
"","21321","html-keyboard-response","4","79463","0.0-4.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","instruction screen 2","q","","","","","","","","","","","",""
"","10493","html-keyboard-response","5","89958","0.0-5.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","instruction screen 3","p","","","","","","","","","","","",""
"","29031","html-keyboard-response","6","118993","0.0-6.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","instruction screen 4"," ","","","","","","","","","","","",""
"","21982","html-keyboard-response","7","140978","0.0-7.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","141479","0.0-8.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","141980","0.0-9.0-0.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","144983","0.0-9.0-1.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","4028","html-keyboard-response","11","146012","0.0-9.0-2.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","mask grid"," ","","","","","Ontogenetic_Distractor_notarget","onmask","3000"," ","6","Ontogenetic","true","practice"
"","null","html-keyboard-response","12","147216","0.0-9.0-3.0","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","147716","0.0-9.0-0.1","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","2342","html-keyboard-response","14","150060","0.0-9.0-1.1","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","ongrid","2900","q","2","Ontogenetic","true","practice"
"","null","html-keyboard-response","15","150211","0.0-9.0-2.1","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","151413","0.0-9.0-3.1","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","151913","0.0-9.0-0.2","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","1570","html-keyboard-response","18","153483","0.0-9.0-1.2","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","ongrid","2800","p","8","Ontogenetic","true","practice"
"","null","html-keyboard-response","19","153636","0.0-9.0-2.2","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","154839","0.0-9.0-3.2","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","155339","0.0-9.0-0.3","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","1472","html-keyboard-response","22","156812","0.0-9.0-1.3","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","ongrid","2700","p","8","Ontogenetic","true","practice"
"","null","html-keyboard-response","23","156963","0.0-9.0-2.3","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","158164","0.0-9.0-3.3","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","158664","0.0-9.0-0.4","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","1267","html-keyboard-response","26","159932","0.0-9.0-1.4","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","ongrid","2600","p","7","Ontogenetic","true","practice"
"","null","html-keyboard-response","27","160083","0.0-9.0-2.4","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","28","161285","0.0-9.0-3.4","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","29","161786","0.0-9.0-0.5","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","1258","html-keyboard-response","30","163044","0.0-9.0-1.5","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","image grid"," ","","","","","Phylogenetic_Distractor_Nonthreat_target","ongrid","2500","p","7","Ontogenetic","false","practice"
"","null","html-keyboard-response","31","163195","0.0-9.0-2.5","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","32","164398","0.0-9.0-3.5","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","33","164898","0.0-9.0-0.6","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","1434","html-keyboard-response","34","166332","0.0-9.0-1.6","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","ongrid","2400","q","6","Ontogenetic","true","practice"
"","null","html-keyboard-response","35","166487","0.0-9.0-2.6","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","36","167687","0.0-9.0-3.6","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","37","168189","0.0-9.0-0.7","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","1928","html-keyboard-response","38","170118","0.0-9.0-1.7","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","image grid","p","","","","","Phylogenetic_Distractor_notarget","ongrid","2300"," ","2","Ontogenetic","false","practice"
"","null","html-keyboard-response","39","170268","0.0-9.0-2.7","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","40","171488","0.0-9.0-3.7","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","41","171988","0.0-9.0-0.8","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","1897","html-keyboard-response","42","173888","0.0-9.0-1.8","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","ongrid","2200","q","6","Ontogenetic","true","practice"
"","null","html-keyboard-response","43","174040","0.0-9.0-2.8","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","44","175242","0.0-9.0-3.8","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","45","175745","0.0-9.0-0.9","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","1327","html-keyboard-response","46","177071","0.0-9.0-1.9","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","ongrid","2100","p","5","Ontogenetic","true","practice"
"","null","html-keyboard-response","47","177224","0.0-9.0-2.9","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","48","178429","0.0-9.0-3.9","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","49","178931","0.0-9.0-0.10","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","fixation cross","null","","","","","","","","","","","",""
"","1299","html-keyboard-response","50","180231","0.0-9.0-1.10","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","ongrid","2000","q","1","Ontogenetic","true","practice"
"","null","html-keyboard-response","51","180381","0.0-9.0-2.10","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","52","181584","0.0-9.0-3.10","nl8z3IONYr","63d8915c1adeaab48c7f2029","6617fad957f7c6a12ea16e26","6622cc76a867ee3cbc3fd72c","feedback screen","null","","","","","","","","","","","",""
