"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","4617","fullscreen","0","5630","0.0-0.0","pWuQceoXIT","5efaa42dff658c8fb708b6a6","6617fad957f7c6a12ea16e26","6622c975ebe87f15b0789971","","","","","","","","","","","","","",""
"","12298","html-keyboard-response","1","17929","0.0-1.0","pWuQceoXIT","5efaa42dff658c8fb708b6a6","6617fad957f7c6a12ea16e26","6622c975ebe87f15b0789971","instruction screen 0","enter","","","","","","","","","","","",""
"true","","preload","2","34277","0.0-2.0","pWuQceoXIT","5efaa42dff658c8fb708b6a6","6617fad957f7c6a12ea16e26","6622c975ebe87f15b0789971","","","false","[]","[]","[]","","","","","","","",""
"","17241","html-keyboard-response","3","51518","0.0-3.0","pWuQceoXIT","5efaa42dff658c8fb708b6a6","6617fad957f7c6a12ea16e26","6622c975ebe87f15b0789971","instruction screen 1","enter","","","","","","","","","","","",""
"","9167","html-keyboard-response","4","60687","0.0-4.0","pWuQceoXIT","5efaa42dff658c8fb708b6a6","6617fad957f7c6a12ea16e26","6622c975ebe87f15b0789971","instruction screen 2","q","","","","","","","","","","","",""
"","7648","html-keyboard-response","5","68336","0.0-5.0","pWuQceoXIT","5efaa42dff658c8fb708b6a6","6617fad957f7c6a12ea16e26","6622c975ebe87f15b0789971","instruction screen 3","p","","","","","","","","","","","",""
"","6745","html-keyboard-response","6","75081","0.0-6.0","pWuQceoXIT","5efaa42dff658c8fb708b6a6","6617fad957f7c6a12ea16e26","6622c975ebe87f15b0789971","instruction screen 4"," ","","","","","","","","","","","",""
"","13624","html-keyboard-response","7","88706","0.0-7.0","pWuQceoXIT","5efaa42dff658c8fb708b6a6","6617fad957f7c6a12ea16e26","6622c975ebe87f15b0789971","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","89214","0.0-8.0","pWuQceoXIT","5efaa42dff658c8fb708b6a6","6617fad957f7c6a12ea16e26","6622c975ebe87f15b0789971","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","89725","0.0-9.0-0.0","pWuQceoXIT","5efaa42dff658c8fb708b6a6","6617fad957f7c6a12ea16e26","6622c975ebe87f15b0789971","fixation cross","null","","","","","","","","","","","",""
