"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","4841","fullscreen","0","5839","0.0-0.0","tse1TClNOu","65962583a4a7e426d3583707","6617fad957f7c6a12ea16e26","6622d00f5b79381c6183f13d","","","","","","","","","","","","","",""
"","6140","html-keyboard-response","1","11977","0.0-1.0","tse1TClNOu","65962583a4a7e426d3583707","6617fad957f7c6a12ea16e26","6622d00f5b79381c6183f13d","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","14188","0.0-2.0","tse1TClNOu","65962583a4a7e426d3583707","6617fad957f7c6a12ea16e26","6622d00f5b79381c6183f13d","","","false","[]","[]","[]","","","","","","","",""
"","6321","html-keyboard-response","3","20508","0.0-3.0","tse1TClNOu","65962583a4a7e426d3583707","6617fad957f7c6a12ea16e26","6622d00f5b79381c6183f13d","instruction screen 1"," ","","","","","","","","","","","",""
"","9062","html-keyboard-response","4","29573","0.0-4.0","tse1TClNOu","65962583a4a7e426d3583707","6617fad957f7c6a12ea16e26","6622d00f5b79381c6183f13d","instruction screen 2","q","","","","","","","","","","","",""
"","2730","html-keyboard-response","5","32307","0.0-5.0","tse1TClNOu","65962583a4a7e426d3583707","6617fad957f7c6a12ea16e26","6622d00f5b79381c6183f13d","instruction screen 3","p","","","","","","","","","","","",""
"","2921","html-keyboard-response","6","35232","0.0-6.0","tse1TClNOu","65962583a4a7e426d3583707","6617fad957f7c6a12ea16e26","6622d00f5b79381c6183f13d","instruction screen 4"," ","","","","","","","","","","","",""
"","3597","html-keyboard-response","7","38833","0.0-7.0","tse1TClNOu","65962583a4a7e426d3583707","6617fad957f7c6a12ea16e26","6622d00f5b79381c6183f13d","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","39338","0.0-8.0","tse1TClNOu","65962583a4a7e426d3583707","6617fad957f7c6a12ea16e26","6622d00f5b79381c6183f13d","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","39841","0.0-9.0-0.0","tse1TClNOu","65962583a4a7e426d3583707","6617fad957f7c6a12ea16e26","6622d00f5b79381c6183f13d","fixation cross","null","","","","","","","","","","","",""
