"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2096","fullscreen","0","3098","0.0-0.0","vfw30xUkkg","65b965069a415587a755a7de","6617fad957f7c6a12ea16e26","6622cd267d02c0e44a20bdfc","","","","","","","","","","","","","",""
"","18720","html-keyboard-response","1","21819","0.0-1.0","vfw30xUkkg","65b965069a415587a755a7de","6617fad957f7c6a12ea16e26","6622cd267d02c0e44a20bdfc","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","24815","0.0-2.0","vfw30xUkkg","65b965069a415587a755a7de","6617fad957f7c6a12ea16e26","6622cd267d02c0e44a20bdfc","","","false","[]","[]","[]","","","","","","","",""
"","21395","html-keyboard-response","3","46211","0.0-3.0","vfw30xUkkg","65b965069a415587a755a7de","6617fad957f7c6a12ea16e26","6622cd267d02c0e44a20bdfc","instruction screen 1"," ","","","","","","","","","","","",""
"","23518","html-keyboard-response","4","69731","0.0-4.0","vfw30xUkkg","65b965069a415587a755a7de","6617fad957f7c6a12ea16e26","6622cd267d02c0e44a20bdfc","instruction screen 2","q","","","","","","","","","","","",""
"","8934","html-keyboard-response","5","78690","0.0-5.0","vfw30xUkkg","65b965069a415587a755a7de","6617fad957f7c6a12ea16e26","6622cd267d02c0e44a20bdfc","instruction screen 3","p","","","","","","","","","","","",""
"","10328","html-keyboard-response","6","89043","0.0-6.0","vfw30xUkkg","65b965069a415587a755a7de","6617fad957f7c6a12ea16e26","6622cd267d02c0e44a20bdfc","instruction screen 4"," ","","","","","","","","","","","",""
"","22173","html-keyboard-response","7","111243","0.0-7.0","vfw30xUkkg","65b965069a415587a755a7de","6617fad957f7c6a12ea16e26","6622cd267d02c0e44a20bdfc","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","111773","0.0-8.0","vfw30xUkkg","65b965069a415587a755a7de","6617fad957f7c6a12ea16e26","6622cd267d02c0e44a20bdfc","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","112285","0.0-9.0-0.0","vfw30xUkkg","65b965069a415587a755a7de","6617fad957f7c6a12ea16e26","6622cd267d02c0e44a20bdfc","fixation cross","null","","","","","","","","","","","",""
"","2781","html-keyboard-response","10","115066","0.0-9.0-1.0","vfw30xUkkg","65b965069a415587a755a7de","6617fad957f7c6a12ea16e26","6622cd267d02c0e44a20bdfc","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","3000","ongrid","q","1","Phylogenetic","true","practice"
