"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2731","fullscreen","0","3739","0.0-0.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","","","","","","","","","","","","","",""
"","7958","html-keyboard-response","1","11700","0.0-1.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","19858","0.0-2.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","","","false","[]","[]","[]","","","","","","","",""
"","113061","html-keyboard-response","3","132922","0.0-3.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","instruction screen 1"," ","","","","","","","","","","","",""
"","7934","html-keyboard-response","4","140887","0.0-4.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","instruction screen 2","q","","","","","","","","","","","",""
"","4102","html-keyboard-response","5","145021","0.0-5.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","instruction screen 3","p","","","","","","","","","","","",""
"","4871","html-keyboard-response","6","149923","0.0-6.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","instruction screen 4"," ","","","","","","","","","","","",""
"","25009","html-keyboard-response","7","174964","0.0-7.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","175500","0.0-8.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","176008","0.0-9.0-0.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","fixation cross","null","","","","","","","","","","","",""
"","2702","html-keyboard-response","10","178711","0.0-9.0-1.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","3000","ongrid","p","4","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","178872","0.0-9.0-2.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","180095","0.0-9.0-3.0","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","180616","0.0-9.0-0.1","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","fixation cross","null","","","","","","","","","","","",""
"","1369","html-keyboard-response","14","181986","0.0-9.0-1.1","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2900","ongrid","p","5","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","182139","0.0-9.0-2.1","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","183359","0.0-9.0-3.1","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","183877","0.0-9.0-0.2","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","fixation cross","null","","","","","","","","","","","",""
"","908","html-keyboard-response","18","184786","0.0-9.0-1.2","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2800","ongrid","p","3","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","184946","0.0-9.0-2.2","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","186171","0.0-9.0-3.2","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","186676","0.0-9.0-0.3","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","fixation cross","null","","","","","","","","","","","",""
"","577","html-keyboard-response","22","187255","0.0-9.0-1.3","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2700","ongrid","p","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","23","187416","0.0-9.0-2.3","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","188631","0.0-9.0-3.3","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","189149","0.0-9.0-0.4","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","fixation cross","null","","","","","","","","","","","",""
"","1920","html-keyboard-response","26","191062","0.0-9.0-1.4","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","2600","ongrid","q","3","Phylogenetic","true","practice"
"","null","html-keyboard-response","27","191222","0.0-9.0-2.4","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","28","192446","0.0-9.0-3.4","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","29","192952","0.0-9.0-0.5","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","fixation cross","null","","","","","","","","","","","",""
"","724","html-keyboard-response","30","193677","0.0-9.0-1.5","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2500","ongrid","p","3","Phylogenetic","true","practice"
"","null","html-keyboard-response","31","193828","0.0-9.0-2.5","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","32","195048","0.0-9.0-3.5","w27wN2oJZF","6108f7876d88d5079619afca","6617fad957f7c6a12ea16e26","6622cda1b0961b742ba67acf","feedback screen","null","","","","","","","","","","","",""
