"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2228","fullscreen","0","3239","0.0-0.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","","","","","","","","","","","","","",""
"","8860","html-keyboard-response","1","12103","0.0-1.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","13225","0.0-2.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","","","false","[]","[]","[]","","","","","","","",""
"","9764","html-keyboard-response","3","22989","0.0-3.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","instruction screen 1"," ","","","","","","","","","","","",""
"","8576","html-keyboard-response","4","31572","0.0-4.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","instruction screen 2","q","","","","","","","","","","","",""
"","6006","html-keyboard-response","5","37584","0.0-5.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","instruction screen 3","p","","","","","","","","","","","",""
"","6173","html-keyboard-response","6","43762","0.0-6.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","instruction screen 4"," ","","","","","","","","","","","",""
"","3830","html-keyboard-response","7","47597","0.0-7.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","48107","0.0-8.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","48620","0.0-9.0-0.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","fixation cross","null","","","","","","","","","","","",""
"","637","html-keyboard-response","10","49258","0.0-9.0-1.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","3000","ongrid","q","4","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","49411","0.0-9.0-2.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","50624","0.0-9.0-3.0","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","51136","0.0-9.0-0.1","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","fixation cross","null","","","","","","","","","","","",""
"","685","html-keyboard-response","14","51822","0.0-9.0-1.1","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","image grid","p","","","","","Phylogenetic_Distractor_notarget","2900","ongrid"," ","1","Phylogenetic","false","practice"
"","null","html-keyboard-response","15","51979","0.0-9.0-2.1","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","53204","0.0-9.0-3.1","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","53719","0.0-9.0-0.2","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","fixation cross","null","","","","","","","","","","","",""
"","690","html-keyboard-response","18","54409","0.0-9.0-1.2","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2800","ongrid","p","1","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","54576","0.0-9.0-2.2","xmUQ1iLSN4","5f6388bf9ae5ad07ba1a0173","6617fad957f7c6a12ea16e26","6622cea26530d65ac59f5412","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
