"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1577","fullscreen","0","2594","0.0-0.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","","","","","","","","","","","","","",""
"","6241","html-keyboard-response","1","8840","0.0-1.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","11120","0.0-2.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","","","false","[]","[]","[]","","","","","","","",""
"","8193","html-keyboard-response","3","19314","0.0-3.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","instruction screen 1"," ","","","","","","","","","","","",""
"","8509","html-keyboard-response","4","27829","0.0-4.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","instruction screen 2","q","","","","","","","","","","","",""
"","6370","html-keyboard-response","5","34204","0.0-5.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","instruction screen 3","p","","","","","","","","","","","",""
"","4339","html-keyboard-response","6","38550","0.0-6.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","instruction screen 4"," ","","","","","","","","","","","",""
"","11091","html-keyboard-response","7","49646","0.0-7.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","50156","0.0-8.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","50663","0.0-9.0-0.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","53677","0.0-9.0-1.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","5023","html-keyboard-response","11","55701","0.0-9.0-2.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","mask grid","q","","","","","Phylogenetic_Distractor_Threat_target","onmask","3000","q","5","Ontogenetic","true","practice"
"","null","html-keyboard-response","12","56923","0.0-9.0-3.0","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","57430","0.0-9.0-0.1","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","14","60339","0.0-9.0-1.1","yNMX6MVtGs","66105c776fb388e117f927b3","6617fad957f7c6a12ea16e26","6622cde3a1eeca31c61db6fc","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
