"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2232","fullscreen","0","3241","0.0-0.0","yNlCgLAo2X","6618650ff8e368f495675c9f","6617fad957f7c6a12ea16e26","6622cc8951ece09e1349732e","","","","","","","","","","","","","",""
"","9987","html-keyboard-response","1","13229","0.0-1.0","yNlCgLAo2X","6618650ff8e368f495675c9f","6617fad957f7c6a12ea16e26","6622cc8951ece09e1349732e","instruction screen 0","arrowright","","","","","","","","","","","",""
"true","","preload","2","15436","0.0-2.0","yNlCgLAo2X","6618650ff8e368f495675c9f","6617fad957f7c6a12ea16e26","6622cc8951ece09e1349732e","","","false","[]","[]","[]","","","","","","","",""
"","11963","html-keyboard-response","3","27400","0.0-3.0","yNlCgLAo2X","6618650ff8e368f495675c9f","6617fad957f7c6a12ea16e26","6622cc8951ece09e1349732e","instruction screen 1","arrowright","","","","","","","","","","","",""
"","7162","html-keyboard-response","4","34563","0.0-4.0","yNlCgLAo2X","6618650ff8e368f495675c9f","6617fad957f7c6a12ea16e26","6622cc8951ece09e1349732e","instruction screen 2","q","","","","","","","","","","","",""
"","7314","html-keyboard-response","5","41880","0.0-5.0","yNlCgLAo2X","6618650ff8e368f495675c9f","6617fad957f7c6a12ea16e26","6622cc8951ece09e1349732e","instruction screen 3","p","","","","","","","","","","","",""
"","4649","html-keyboard-response","6","46530","0.0-6.0","yNlCgLAo2X","6618650ff8e368f495675c9f","6617fad957f7c6a12ea16e26","6622cc8951ece09e1349732e","instruction screen 4"," ","","","","","","","","","","","",""
"","9602","html-keyboard-response","7","56135","0.0-7.0","yNlCgLAo2X","6618650ff8e368f495675c9f","6617fad957f7c6a12ea16e26","6622cc8951ece09e1349732e","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","56638","0.0-8.0","yNlCgLAo2X","6618650ff8e368f495675c9f","6617fad957f7c6a12ea16e26","6622cc8951ece09e1349732e","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","57153","0.0-9.0-0.0","yNlCgLAo2X","6618650ff8e368f495675c9f","6617fad957f7c6a12ea16e26","6622cc8951ece09e1349732e","fixation cross","null","","","","","","","","","","","",""
