"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","14247","fullscreen","0","15254","0.0-0.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","","","","","","","","","","","","","",""
"","29613","html-keyboard-response","1","44868","0.0-1.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","62680","0.0-2.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","","","false","[]","[]","[]","","","","","","","",""
"","14767","html-keyboard-response","3","77448","0.0-3.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","instruction screen 1"," ","","","","","","","","","","","",""
"","5793","html-keyboard-response","4","83243","0.0-4.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","instruction screen 2","q","","","","","","","","","","","",""
"","6734","html-keyboard-response","5","89995","0.0-5.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","instruction screen 3","p","","","","","","","","","","","",""
"","4181","html-keyboard-response","6","94195","0.0-6.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","instruction screen 4"," ","","","","","","","","","","","",""
"","13215","html-keyboard-response","7","107428","0.0-7.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","107959","0.0-8.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","108469","0.0-9.0-0.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","fixation cross","null","","","","","","","","","","","",""
"","629","html-keyboard-response","10","109099","0.0-9.0-1.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","image grid","p","","","","","Phylogenetic_Distractor_notarget","3000","ongrid"," ","6","Phylogenetic","false","practice"
"","null","html-keyboard-response","11","109263","0.0-9.0-2.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","110474","0.0-9.0-3.0","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","110989","0.0-9.0-0.1","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","fixation cross","null","","","","","","","","","","","",""
"","1254","html-keyboard-response","14","112243","0.0-9.0-1.1","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2900","ongrid","p","4","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","112403","0.0-9.0-2.1","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","113615","0.0-9.0-3.1","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","114131","0.0-9.0-0.2","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","fixation cross","null","","","","","","","","","","","",""
"","1480","html-keyboard-response","18","115611","0.0-9.0-1.2","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","image grid"," ","","","","","Phylogenetic_Distractor_notarget","2800","ongrid"," ","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","115767","0.0-9.0-2.2","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","116982","0.0-9.0-3.2","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","117494","0.0-9.0-0.3","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","fixation cross","null","","","","","","","","","","","",""
"","1461","html-keyboard-response","22","118956","0.0-9.0-1.3","zKsMJ0W3sI","5decaac46e09cf3792805023","6617fad957f7c6a12ea16e26","6622d0015875c239fcd28bde","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2700","ongrid","p","4","Phylogenetic","true","practice"
