"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2302","fullscreen","0","3307","0.0-0.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","","","","","","","","","","","","","",""
"","12318","html-keyboard-response","1","15629","0.0-1.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","17479","0.0-2.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","","","false","[]","[]","[]","","","","","","","",""
"","9422","html-keyboard-response","3","26903","0.0-3.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","instruction screen 1"," ","","","","","","","","","","","",""
"","14554","html-keyboard-response","4","41469","0.0-4.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","instruction screen 2","q","","","","","","","","","","","",""
"","4139","html-keyboard-response","5","45618","0.0-5.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","instruction screen 3","p","","","","","","","","","","","",""
"","4103","html-keyboard-response","6","49724","0.0-6.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","instruction screen 4"," ","","","","","","","","","","","",""
"","22752","html-keyboard-response","7","72481","0.0-7.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","72992","0.0-8.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","73495","0.0-9.0-0.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","fixation cross","null","","","","","","","","","","","",""
"","2755","html-keyboard-response","10","76252","0.0-9.0-1.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","3000","ongrid","p","6","Ontogenetic","true","practice"
"","null","html-keyboard-response","11","76405","0.0-9.0-2.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","77610","0.0-9.0-3.0","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","78115","0.0-9.0-0.1","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","fixation cross","null","","","","","","","","","","","",""
"","2237","html-keyboard-response","14","80354","0.0-9.0-1.1","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2900","ongrid","p","2","Ontogenetic","true","practice"
"","null","html-keyboard-response","15","80508","0.0-9.0-2.1","26UAcj2Kv4","6549c4b452f49429c69865e0","6617fad957f7c6a12ea16e26","6622caef51ece09e134972e1","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
