"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","6561","fullscreen","0","7574","0.0-0.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","","","","","","","","","","","","","",""
"","6050","html-keyboard-response","1","13627","0.0-1.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","instruction screen 0","d","","","","","","","","","","","",""
"true","","preload","2","15706","0.0-2.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","","","false","[]","[]","[]","","","","","","","",""
"","8667","html-keyboard-response","3","24374","0.0-3.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","instruction screen 1","2","","","","","","","","","","","",""
"","7430","html-keyboard-response","4","31810","0.0-4.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","instruction screen 2","q","","","","","","","","","","","",""
"","6420","html-keyboard-response","5","38239","0.0-5.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","instruction screen 3","p","","","","","","","","","","","",""
"","2818","html-keyboard-response","6","41064","0.0-6.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","instruction screen 4"," ","","","","","","","","","","","",""
"","4630","html-keyboard-response","7","45703","0.0-7.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","46213","0.0-8.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","46715","0.0-9.0-0.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","fixation cross","null","","","","","","","","","","","",""
"","2401","html-keyboard-response","10","49117","0.0-9.0-1.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","3000","ongrid","q","1","Ontogenetic","true","practice"
"","null","html-keyboard-response","11","49269","0.0-9.0-2.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","50473","0.0-9.0-3.0","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","50982","0.0-9.0-0.1","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","fixation cross","null","","","","","","","","","","","",""
"","1547","html-keyboard-response","14","52530","0.0-9.0-1.1","7TcbMDuIpD","63d811a348905b30f4006887","6617fad957f7c6a12ea16e26","6622cb7ab0961b742ba67a4d","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2900","ongrid","p","9","Ontogenetic","true","practice"
