"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1857","fullscreen","0","2869","0.0-0.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","","","","","","","","","","","","","",""
"","1562","html-keyboard-response","1","4436","0.0-1.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","107230","0.0-2.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","","","false","[]","[]","[]","","","","","","","",""
"","7187","html-keyboard-response","3","114420","0.0-3.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","instruction screen 1"," ","","","","","","","","","","","",""
"","1766","html-keyboard-response","4","116234","0.0-4.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","instruction screen 2","q","","","","","","","","","","","",""
"","1402","html-keyboard-response","5","117642","0.0-5.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","instruction screen 3","p","","","","","","","","","","","",""
"","1242","html-keyboard-response","6","118890","0.0-6.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","instruction screen 4"," ","","","","","","","","","","","",""
"","1642","html-keyboard-response","7","120538","0.0-7.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","121058","0.0-8.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","121573","0.0-9.0-0.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","null","","","","","","","","","","","",""
"","628","html-keyboard-response","10","122202","0.0-9.0-1.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","3000","ongrid","p","9","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","122368","0.0-9.0-2.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","123585","0.0-9.0-3.0","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","124094","0.0-9.0-0.1","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","null","","","","","","","","","","","",""
"","250","html-keyboard-response","14","124345","0.0-9.0-1.1","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2900","ongrid","q","9","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","124498","0.0-9.0-2.1","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","125721","0.0-9.0-3.1","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","126245","0.0-9.0-0.2","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","null","","","","","","","","","","","",""
"","419","html-keyboard-response","18","126665","0.0-9.0-1.2","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2800","ongrid","p","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","126822","0.0-9.0-2.2","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","128026","0.0-9.0-3.2","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","128539","0.0-9.0-0.3","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","null","","","","","","","","","","","",""
"","500","html-keyboard-response","22","129041","0.0-9.0-1.3","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","q","","","","","Ontogenetic_Distractor_notarget","2700","ongrid"," ","7","Phylogenetic","false","practice"
"","null","html-keyboard-response","23","129195","0.0-9.0-2.3","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","130412","0.0-9.0-3.3","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","null","","","","","","","","","","","",""
"","505","html-keyboard-response","25","130922","0.0-9.0-0.4","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","p","","","","","","","","","","","",""
"","287","html-keyboard-response","26","131211","0.0-9.0-1.4","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","p","","","","","Phylogenetic_Distractor_Threat_target","2600","ongrid","q","6","Phylogenetic","false","practice"
"","null","html-keyboard-response","27","131375","0.0-9.0-2.4","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","47","html-keyboard-response","28","131634","0.0-9.0-3.4","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","p","","","","","","","","","","","",""
"","219","html-keyboard-response","29","132147","0.0-9.0-0.5","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","p","","","","","","","","","","","",""
"","190","html-keyboard-response","30","132338","0.0-9.0-1.5","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2500","ongrid","p","5","Phylogenetic","true","practice"
"","158","html-keyboard-response","31","132498","0.0-9.0-2.5","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","q","","","","","","","","","","","",""
"","47","html-keyboard-response","32","132762","0.0-9.0-3.5","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","p","","","","","","","","","","","",""
"","192","html-keyboard-response","33","133285","0.0-9.0-0.6","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","q","","","","","","","","","","","",""
"","155","html-keyboard-response","34","133442","0.0-9.0-1.6","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2400","ongrid","p","1","Phylogenetic","true","practice"
"","null","html-keyboard-response","35","133594","0.0-9.0-2.6","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","36","134808","0.0-9.0-3.6","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","37","135326","0.0-9.0-0.7","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","null","","","","","","","","","","","",""
"","546","html-keyboard-response","38","135873","0.0-9.0-1.7","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2300","ongrid","q","2","Phylogenetic","true","practice"
"","null","html-keyboard-response","39","136031","0.0-9.0-2.7","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","40","137248","0.0-9.0-3.7","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","null","","","","","","","","","","","",""
"","378","html-keyboard-response","41","137770","0.0-9.0-0.8","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","q","","","","","","","","","","","",""
"","559","html-keyboard-response","42","138330","0.0-9.0-1.8","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","q","","","","","Ontogenetic_Distractor_Nonthreat_target","2200","ongrid","p","1","Phylogenetic","false","practice"
"","null","html-keyboard-response","43","138483","0.0-9.0-2.8","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","996","html-keyboard-response","44","139690","0.0-9.0-3.8","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","p","","","","","","","","","","","",""
"","null","html-keyboard-response","45","140209","0.0-9.0-0.9","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","null","","","","","","","","","","","",""
"","592","html-keyboard-response","46","140802","0.0-9.0-1.9","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","q","","","","","Phylogenetic_Distractor_notarget","2100","ongrid"," ","8","Phylogenetic","false","practice"
"","null","html-keyboard-response","47","140960","0.0-9.0-2.9","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","707","html-keyboard-response","48","141882","0.0-9.0-3.9","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","p","","","","","","","","","","","",""
"","null","html-keyboard-response","49","142393","0.0-9.0-0.10","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","null","","","","","","","","","","","",""
"","488","html-keyboard-response","50","142882","0.0-9.0-1.10","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","p","","","","","Ontogenetic_Distractor_notarget","2000","ongrid"," ","8","Phylogenetic","false","practice"
"","null","html-keyboard-response","51","143041","0.0-9.0-2.10","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","392","html-keyboard-response","52","143650","0.0-9.0-3.10","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","q","","","","","","","","","","","",""
"","null","html-keyboard-response","53","144165","0.0-9.0-0.11","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","fixation cross","null","","","","","","","","","","","",""
"","420","html-keyboard-response","54","144586","0.0-9.0-1.11","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","image grid","p","","","","","Ontogenetic_Distractor_Threat_target","1900","ongrid","q","4","Phylogenetic","false","practice"
"","null","html-keyboard-response","55","144751","0.0-9.0-2.11","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","56","145975","0.0-9.0-3.11","84O9cZDYSD","653f02673c461bbfd79d8789","6617fad957f7c6a12ea16e26","6622cf93de5c5465f45dedb2","feedback screen","null","","","","","","","","","","","",""
