"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1977","fullscreen","0","2984","0.0-0.0","8kYGdQMenz","5adfcb03f6b58c0001fa9083","6617fad957f7c6a12ea16e26","6622cccc292d6e4f66108883","","","","","","","","","","","","","",""
"","9983","html-keyboard-response","1","12969","0.0-1.0","8kYGdQMenz","5adfcb03f6b58c0001fa9083","6617fad957f7c6a12ea16e26","6622cccc292d6e4f66108883","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","15157","0.0-2.0","8kYGdQMenz","5adfcb03f6b58c0001fa9083","6617fad957f7c6a12ea16e26","6622cccc292d6e4f66108883","","","false","[]","[]","[]","","","","","","","",""
"","14059","html-keyboard-response","3","29217","0.0-3.0","8kYGdQMenz","5adfcb03f6b58c0001fa9083","6617fad957f7c6a12ea16e26","6622cccc292d6e4f66108883","instruction screen 1"," ","","","","","","","","","","","",""
"","10042","html-keyboard-response","4","39265","0.0-4.0","8kYGdQMenz","5adfcb03f6b58c0001fa9083","6617fad957f7c6a12ea16e26","6622cccc292d6e4f66108883","instruction screen 2","q","","","","","","","","","","","",""
"","6564","html-keyboard-response","5","45834","0.0-5.0","8kYGdQMenz","5adfcb03f6b58c0001fa9083","6617fad957f7c6a12ea16e26","6622cccc292d6e4f66108883","instruction screen 3","p","","","","","","","","","","","",""
"","4929","html-keyboard-response","6","50767","0.0-6.0","8kYGdQMenz","5adfcb03f6b58c0001fa9083","6617fad957f7c6a12ea16e26","6622cccc292d6e4f66108883","instruction screen 4"," ","","","","","","","","","","","",""
"","9570","html-keyboard-response","7","60342","0.0-7.0","8kYGdQMenz","5adfcb03f6b58c0001fa9083","6617fad957f7c6a12ea16e26","6622cccc292d6e4f66108883","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","60848","0.0-8.0","8kYGdQMenz","5adfcb03f6b58c0001fa9083","6617fad957f7c6a12ea16e26","6622cccc292d6e4f66108883","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","61363","0.0-9.0-0.0","8kYGdQMenz","5adfcb03f6b58c0001fa9083","6617fad957f7c6a12ea16e26","6622cccc292d6e4f66108883","fixation cross","null","","","","","","","","","","","",""
