"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2805","fullscreen","0","3821","0.0-0.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","","","","","","","","","","","","","",""
"","21188","html-keyboard-response","1","25011","0.0-1.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","instruction screen 0","d","","","","","","","","","","","",""
"true","","preload","2","29916","0.0-2.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","","","false","[]","[]","[]","","","","","","","",""
"","12794","html-keyboard-response","3","42710","0.0-3.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","instruction screen 1"," ","","","","","","","","","","","",""
"","8225","html-keyboard-response","4","50937","0.0-4.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","instruction screen 2","q","","","","","","","","","","","",""
"","9202","html-keyboard-response","5","60141","0.0-5.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","instruction screen 3","p","","","","","","","","","","","",""
"","7316","html-keyboard-response","6","67459","0.0-6.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","instruction screen 4"," ","","","","","","","","","","","",""
"","10567","html-keyboard-response","7","78046","0.0-7.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","78580","0.0-8.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","79095","0.0-9.0-0.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","fixation cross","null","","","","","","","","","","","",""
"","2139","html-keyboard-response","10","81234","0.0-9.0-1.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","3000","ongrid","p","6","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","81386","0.0-9.0-2.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","82598","0.0-9.0-3.0","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","83109","0.0-9.0-0.1","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","fixation cross","null","","","","","","","","","","","",""
"","1433","html-keyboard-response","14","84543","0.0-9.0-1.1","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","image grid"," ","","","","","Ontogenetic_Distractor_notarget","2900","ongrid"," ","6","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","84704","0.0-9.0-2.1","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","85923","0.0-9.0-3.1","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","86436","0.0-9.0-0.2","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","fixation cross","null","","","","","","","","","","","",""
"","967","html-keyboard-response","18","87404","0.0-9.0-1.2","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2800","ongrid","p","7","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","87554","0.0-9.0-2.2","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","88771","0.0-9.0-3.2","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","89286","0.0-9.0-0.3","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","fixation cross","null","","","","","","","","","","","",""
"","1516","html-keyboard-response","22","90803","0.0-9.0-1.3","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","2700","ongrid","q","9","Phylogenetic","true","practice"
"","null","html-keyboard-response","23","90956","0.0-9.0-2.3","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","92174","0.0-9.0-3.3","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","92686","0.0-9.0-0.4","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","fixation cross","null","","","","","","","","","","","",""
"","977","html-keyboard-response","26","93663","0.0-9.0-1.4","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2600","ongrid","p","3","Phylogenetic","true","practice"
"","null","html-keyboard-response","27","93818","0.0-9.0-2.4","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","28","95042","0.0-9.0-3.4","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","29","95554","0.0-9.0-0.5","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","fixation cross","null","","","","","","","","","","","",""
"","1316","html-keyboard-response","30","96870","0.0-9.0-1.5","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2500","ongrid","p","1","Phylogenetic","true","practice"
"","null","html-keyboard-response","31","97025","0.0-9.0-2.5","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","32","98242","0.0-9.0-3.5","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","33","98753","0.0-9.0-0.6","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","fixation cross","null","","","","","","","","","","","",""
"","991","html-keyboard-response","34","99745","0.0-9.0-1.6","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2400","ongrid","q","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","35","99911","0.0-9.0-2.6","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","36","101140","0.0-9.0-3.6","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","37","101652","0.0-9.0-0.7","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","fixation cross","null","","","","","","","","","","","",""
"","1766","html-keyboard-response","38","103419","0.0-9.0-1.7","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2300","ongrid","p","5","Phylogenetic","true","practice"
"","null","html-keyboard-response","39","103572","0.0-9.0-2.7","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","40","104790","0.0-9.0-3.7","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","41","105307","0.0-9.0-0.8","9YZchSawTb","5f91fe1f5ed1060f5afb58a7","6617fad957f7c6a12ea16e26","6622cfbf008714f5065deb7f","fixation cross","null","","","","","","","","","","","",""
