"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2485","fullscreen","0","3499","0.0-0.0","Ay0j73sa3E","5f724539c03c5415829579a6","6617fad957f7c6a12ea16e26","6622c93faef7ae31af983887","","","","","","","","","","","","","",""
"","11082","html-keyboard-response","1","14583","0.0-1.0","Ay0j73sa3E","5f724539c03c5415829579a6","6617fad957f7c6a12ea16e26","6622c93faef7ae31af983887","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","17206","0.0-2.0","Ay0j73sa3E","5f724539c03c5415829579a6","6617fad957f7c6a12ea16e26","6622c93faef7ae31af983887","","","false","[]","[]","[]","","","","","","","",""
"","13148","html-keyboard-response","3","30355","0.0-3.0","Ay0j73sa3E","5f724539c03c5415829579a6","6617fad957f7c6a12ea16e26","6622c93faef7ae31af983887","instruction screen 1"," ","","","","","","","","","","","",""
"","15502","html-keyboard-response","4","45859","0.0-4.0","Ay0j73sa3E","5f724539c03c5415829579a6","6617fad957f7c6a12ea16e26","6622c93faef7ae31af983887","instruction screen 2","q","","","","","","","","","","","",""
"","8912","html-keyboard-response","5","54772","0.0-5.0","Ay0j73sa3E","5f724539c03c5415829579a6","6617fad957f7c6a12ea16e26","6622c93faef7ae31af983887","instruction screen 3","p","","","","","","","","","","","",""
"","7287","html-keyboard-response","6","62059","0.0-6.0","Ay0j73sa3E","5f724539c03c5415829579a6","6617fad957f7c6a12ea16e26","6622c93faef7ae31af983887","instruction screen 4"," ","","","","","","","","","","","",""
"","20375","html-keyboard-response","7","82434","0.0-7.0","Ay0j73sa3E","5f724539c03c5415829579a6","6617fad957f7c6a12ea16e26","6622c93faef7ae31af983887","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","82938","0.0-8.0","Ay0j73sa3E","5f724539c03c5415829579a6","6617fad957f7c6a12ea16e26","6622c93faef7ae31af983887","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","83440","0.0-9.0-0.0","Ay0j73sa3E","5f724539c03c5415829579a6","6617fad957f7c6a12ea16e26","6622c93faef7ae31af983887","fixation cross","null","","","","","","","","","","","",""
