"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","3276","fullscreen","0","4279","0.0-0.0","Cf9bmm76sG","5fd5381b5807b616d910c586","6617fad957f7c6a12ea16e26","6622cd6cc8a4c02db902d0fe","","","","","","","","","","","","","",""
"","15431","html-keyboard-response","1","19713","0.0-1.0","Cf9bmm76sG","5fd5381b5807b616d910c586","6617fad957f7c6a12ea16e26","6622cd6cc8a4c02db902d0fe","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","26403","0.0-2.0","Cf9bmm76sG","5fd5381b5807b616d910c586","6617fad957f7c6a12ea16e26","6622cd6cc8a4c02db902d0fe","","","false","[]","[]","[]","","","","","","","",""
"","17317","html-keyboard-response","3","43722","0.0-3.0","Cf9bmm76sG","5fd5381b5807b616d910c586","6617fad957f7c6a12ea16e26","6622cd6cc8a4c02db902d0fe","instruction screen 1"," ","","","","","","","","","","","",""
"","9550","html-keyboard-response","4","53277","0.0-4.0","Cf9bmm76sG","5fd5381b5807b616d910c586","6617fad957f7c6a12ea16e26","6622cd6cc8a4c02db902d0fe","instruction screen 2","q","","","","","","","","","","","",""
"","5418","html-keyboard-response","5","58699","0.0-5.0","Cf9bmm76sG","5fd5381b5807b616d910c586","6617fad957f7c6a12ea16e26","6622cd6cc8a4c02db902d0fe","instruction screen 3","p","","","","","","","","","","","",""
"","7790","html-keyboard-response","6","66492","0.0-6.0","Cf9bmm76sG","5fd5381b5807b616d910c586","6617fad957f7c6a12ea16e26","6622cd6cc8a4c02db902d0fe","instruction screen 4"," ","","","","","","","","","","","",""
"","12001","html-keyboard-response","7","78530","0.0-7.0","Cf9bmm76sG","5fd5381b5807b616d910c586","6617fad957f7c6a12ea16e26","6622cd6cc8a4c02db902d0fe","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","79070","0.0-8.0","Cf9bmm76sG","5fd5381b5807b616d910c586","6617fad957f7c6a12ea16e26","6622cd6cc8a4c02db902d0fe","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","79571","0.0-9.0-0.0","Cf9bmm76sG","5fd5381b5807b616d910c586","6617fad957f7c6a12ea16e26","6622cd6cc8a4c02db902d0fe","fixation cross","null","","","","","","","","","","","",""
