"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1367","fullscreen","0","2377","0.0-0.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","","","","","","","","","","","","","",""
"","4208","html-keyboard-response","1","6586","0.0-1.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","instruction screen 0","arrowright","","","","","","","","","","","",""
"true","","preload","2","9027","0.0-2.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","","","false","[]","[]","[]","","","","","","","",""
"","7626","html-keyboard-response","3","16654","0.0-3.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","instruction screen 1","arrowright","","","","","","","","","","","",""
"","6379","html-keyboard-response","4","23034","0.0-4.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","instruction screen 2","q","","","","","","","","","","","",""
"","4062","html-keyboard-response","5","27097","0.0-5.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","instruction screen 3","p","","","","","","","","","","","",""
"","7878","html-keyboard-response","6","34975","0.0-6.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","instruction screen 4"," ","","","","","","","","","","","",""
"","3208","html-keyboard-response","7","38184","0.0-7.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","38688","0.0-8.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","39190","0.0-9.0-0.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","fixation cross","null","","","","","","","","","","","",""
"","1444","html-keyboard-response","10","40635","0.0-9.0-1.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","image grid","p","","","","","Phylogenetic_Distractor_notarget","3000","ongrid"," ","5","Phylogenetic","false","practice"
"","null","html-keyboard-response","11","40797","0.0-9.0-2.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","42004","0.0-9.0-3.0","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","42519","0.0-9.0-0.1","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","fixation cross","null","","","","","","","","","","","",""
"","906","html-keyboard-response","14","43425","0.0-9.0-1.1","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","image grid"," ","","","","","Ontogenetic_Distractor_notarget","2900","ongrid"," ","2","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","43586","0.0-9.0-2.1","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","44799","0.0-9.0-3.1","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","45303","0.0-9.0-0.2","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","fixation cross","null","","","","","","","","","","","",""
"","1276","html-keyboard-response","18","46578","0.0-9.0-1.2","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","image grid"," ","","","","","Phylogenetic_Distractor_Threat_target","2800","ongrid","q","6","Phylogenetic","false","practice"
"","null","html-keyboard-response","19","46730","0.0-9.0-2.2","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","47943","0.0-9.0-3.2","GWNzApEI25","63d18647419ae52f5e141607","6617fad957f7c6a12ea16e26","6622ce972dd9c81832be1f1c","feedback screen","null","","","","","","","","","","","",""
