"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","3541","fullscreen","0","4649","0.0-0.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","","","","","","","","","","","","","",""
"","7388","html-keyboard-response","1","12140","0.0-1.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","26141","0.0-2.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","","","false","[]","[]","[]","","","","","","","",""
"","8311","html-keyboard-response","3","34458","0.0-3.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","instruction screen 1"," ","","","","","","","","","","","",""
"","6736","html-keyboard-response","4","41201","0.0-4.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","instruction screen 2","q","","","","","","","","","","","",""
"","4252","html-keyboard-response","5","45459","0.0-5.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","instruction screen 3","p","","","","","","","","","","","",""
"","9036","html-keyboard-response","6","54501","0.0-6.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","instruction screen 4"," ","","","","","","","","","","","",""
"","14797","html-keyboard-response","7","69305","0.0-7.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","69878","0.0-8.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","70390","0.0-9.0-0.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","fixation cross","null","","","","","","","","","","","",""
"","2312","html-keyboard-response","10","72720","0.0-9.0-1.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","3000","ongrid","p","6","Ontogenetic","true","practice"
"","null","html-keyboard-response","11","72879","0.0-9.0-2.0","HLE1Ar9WiR","63d7c8b24017a56bcc3affe2","6617fad957f7c6a12ea16e26","6622cb6cd644ca17359f54f3","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
