"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2513","fullscreen","0","3516","0.0-0.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","","","","","","","","","","","","","",""
"","8116","html-keyboard-response","1","11635","0.0-1.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","instruction screen 0","enter","","","","","","","","","","","",""
"true","","preload","2","14118","0.0-2.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","","","false","[]","[]","[]","","","","","","","",""
"","8852","html-keyboard-response","3","22970","0.0-3.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","instruction screen 1","enter","","","","","","","","","","","",""
"","5775","html-keyboard-response","4","28748","0.0-4.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","instruction screen 2","q","","","","","","","","","","","",""
"","4694","html-keyboard-response","5","33444","0.0-5.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","instruction screen 3","p","","","","","","","","","","","",""
"","4862","html-keyboard-response","6","38311","0.0-6.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","instruction screen 4"," ","","","","","","","","","","","",""
"","6424","html-keyboard-response","7","44738","0.0-7.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","45245","0.0-8.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","45747","0.0-9.0-0.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","48750","0.0-9.0-1.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","4173","html-keyboard-response","11","49924","0.0-9.0-2.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","mask grid","q","","","","","Ontogenetic_Distractor_Threat_target","onmask","3000","q","6","Ontogenetic","true","practice"
"","null","html-keyboard-response","12","51130","0.0-9.0-3.0","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","51637","0.0-9.0-0.1","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","14","54540","0.0-9.0-1.1","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","3602","html-keyboard-response","15","55244","0.0-9.0-2.1","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","mask grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","onmask","2900","p","5","Ontogenetic","true","practice"
"","null","html-keyboard-response","16","56448","0.0-9.0-3.1","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","56954","0.0-9.0-0.2","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","18","59756","0.0-9.0-1.2","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","3255","html-keyboard-response","19","60211","0.0-9.0-2.2","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","mask grid"," ","","","","","Ontogenetic_Distractor_notarget","onmask","2800"," ","5","Ontogenetic","true","practice"
"","null","html-keyboard-response","20","61416","0.0-9.0-3.2","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","61921","0.0-9.0-0.3","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","22","64624","0.0-9.0-1.3","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","3263","html-keyboard-response","23","65188","0.0-9.0-2.3","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","mask grid","q","","","","","Phylogenetic_Distractor_Threat_target","onmask","2700","q","4","Ontogenetic","true","practice"
"","null","html-keyboard-response","24","66394","0.0-9.0-3.3","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","66902","0.0-9.0-0.4","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","26","69504","0.0-9.0-1.4","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","3288","html-keyboard-response","27","70193","0.0-9.0-2.4","HO5i88scua","58fd4bc1e219d00001ee5a55","6617fad957f7c6a12ea16e26","6622c9a4a711531c2c74fc6b","mask grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","onmask","2600","p","6","Ontogenetic","true","practice"
