"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","40789","fullscreen","0","41791","0.0-0.0","ITJEZmmnmw","5ae3223938df950001455e66","6617fad957f7c6a12ea16e26","6622cebbc253f2e616097071","","","","","","","","","","","","","",""
"","9943","html-keyboard-response","1","51736","0.0-1.0","ITJEZmmnmw","5ae3223938df950001455e66","6617fad957f7c6a12ea16e26","6622cebbc253f2e616097071","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","52840","0.0-2.0","ITJEZmmnmw","5ae3223938df950001455e66","6617fad957f7c6a12ea16e26","6622cebbc253f2e616097071","","","false","[]","[]","[]","","","","","","","",""
"","9479","html-keyboard-response","3","62320","0.0-3.0","ITJEZmmnmw","5ae3223938df950001455e66","6617fad957f7c6a12ea16e26","6622cebbc253f2e616097071","instruction screen 1"," ","","","","","","","","","","","",""
"","9056","html-keyboard-response","4","71400","0.0-4.0","ITJEZmmnmw","5ae3223938df950001455e66","6617fad957f7c6a12ea16e26","6622cebbc253f2e616097071","instruction screen 2","q","","","","","","","","","","","",""
"","7925","html-keyboard-response","5","79351","0.0-5.0","ITJEZmmnmw","5ae3223938df950001455e66","6617fad957f7c6a12ea16e26","6622cebbc253f2e616097071","instruction screen 3","p","","","","","","","","","","","",""
"","7360","html-keyboard-response","6","86735","0.0-6.0","ITJEZmmnmw","5ae3223938df950001455e66","6617fad957f7c6a12ea16e26","6622cebbc253f2e616097071","instruction screen 4"," ","","","","","","","","","","","",""
"","7094","html-keyboard-response","7","93855","0.0-7.0","ITJEZmmnmw","5ae3223938df950001455e66","6617fad957f7c6a12ea16e26","6622cebbc253f2e616097071","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","94391","0.0-8.0","ITJEZmmnmw","5ae3223938df950001455e66","6617fad957f7c6a12ea16e26","6622cebbc253f2e616097071","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","94906","0.0-9.0-0.0","ITJEZmmnmw","5ae3223938df950001455e66","6617fad957f7c6a12ea16e26","6622cebbc253f2e616097071","fixation cross","null","","","","","","","","","","","",""
