"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","3223","fullscreen","0","4237","0.0-0.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","","","","","","","","","","","","","",""
"","11323","html-keyboard-response","1","15562","0.0-1.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","instruction screen 0","enter","","","","","","","","","","","",""
"true","","preload","2","25676","0.0-2.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","","","false","[]","[]","[]","","","","","","","",""
"","18216","html-keyboard-response","3","43893","0.0-3.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","instruction screen 1","enter","","","","","","","","","","","",""
"","10955","html-keyboard-response","4","54852","0.0-4.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","instruction screen 2","q","","","","","","","","","","","",""
"","5799","html-keyboard-response","5","60653","0.0-5.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","instruction screen 3","p","","","","","","","","","","","",""
"","5926","html-keyboard-response","6","66581","0.0-6.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","instruction screen 4"," ","","","","","","","","","","","",""
"","17528","html-keyboard-response","7","84129","0.0-7.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","84674","0.0-8.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","85188","0.0-9.0-0.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","fixation cross","null","","","","","","","","","","","",""
"","1628","html-keyboard-response","10","86817","0.0-9.0-1.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","image grid"," ","","","","","Phylogenetic_Distractor_notarget","3000","ongrid"," ","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","86983","0.0-9.0-2.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","88190","0.0-9.0-3.0","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","88708","0.0-9.0-0.1","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","fixation cross","null","","","","","","","","","","","",""
"","1148","html-keyboard-response","14","89857","0.0-9.0-1.1","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","image grid","p","","","","","Ontogenetic_Distractor_Threat_target","2900","ongrid","q","9","Phylogenetic","false","practice"
"","null","html-keyboard-response","15","90023","0.0-9.0-2.1","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","91230","0.0-9.0-3.1","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","91741","0.0-9.0-0.2","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","fixation cross","null","","","","","","","","","","","",""
"","1051","html-keyboard-response","18","92792","0.0-9.0-1.2","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2800","ongrid","p","4","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","92947","0.0-9.0-2.2","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","94162","0.0-9.0-3.2","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","94670","0.0-9.0-0.3","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","fixation cross","null","","","","","","","","","","","",""
"","1211","html-keyboard-response","22","95881","0.0-9.0-1.3","Jpg2lIUMtp","5dd31f8e7f1bbf33942dfcbf","6617fad957f7c6a12ea16e26","6622cf6e292d6e4f661088e5","image grid"," ","","","","","Phylogenetic_Distractor_Threat_target","2700","ongrid","q","3","Phylogenetic","false","practice"
