"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","4827","fullscreen","0","5833","0.0-0.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","","","","","","","","","","","","","",""
"","11140","html-keyboard-response","1","16977","0.0-1.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","instruction screen 0","j","","","","","","","","","","","",""
"true","","preload","2","20113","0.0-2.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","","","false","[]","[]","[]","","","","","","","",""
"","10219","html-keyboard-response","3","30333","0.0-3.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","instruction screen 1"," ","","","","","","","","","","","",""
"","9690","html-keyboard-response","4","40028","0.0-4.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","instruction screen 2","q","","","","","","","","","","","",""
"","7751","html-keyboard-response","5","47784","0.0-5.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","instruction screen 3","p","","","","","","","","","","","",""
"","8867","html-keyboard-response","6","56658","0.0-6.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","instruction screen 4"," ","","","","","","","","","","","",""
"","8611","html-keyboard-response","7","65276","0.0-7.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","65815","0.0-8.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","66317","0.0-9.0-0.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","fixation cross","null","","","","","","","","","","","",""
"","1534","html-keyboard-response","10","67852","0.0-9.0-1.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","3000","ongrid","p","2","Ontogenetic","true","practice"
"","null","html-keyboard-response","11","68005","0.0-9.0-2.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","69209","0.0-9.0-3.0","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","69715","0.0-9.0-0.1","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","fixation cross","null","","","","","","","","","","","",""
"","1126","html-keyboard-response","14","70842","0.0-9.0-1.1","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2900","ongrid","p","5","Ontogenetic","true","practice"
"","null","html-keyboard-response","15","70995","0.0-9.0-2.1","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","72199","0.0-9.0-3.1","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","72705","0.0-9.0-0.2","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","fixation cross","null","","","","","","","","","","","",""
"","2476","html-keyboard-response","18","75182","0.0-9.0-1.2","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","image grid","p","","","","","Phylogenetic_Distractor_Threat_target","2800","ongrid","q","6","Ontogenetic","false","practice"
"","null","html-keyboard-response","19","75334","0.0-9.0-2.2","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","76539","0.0-9.0-3.2","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","77045","0.0-9.0-0.3","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","fixation cross","null","","","","","","","","","","","",""
"","1280","html-keyboard-response","22","78326","0.0-9.0-1.3","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2700","ongrid","p","2","Ontogenetic","true","practice"
"","null","html-keyboard-response","23","78478","0.0-9.0-2.3","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","79681","0.0-9.0-3.3","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","80184","0.0-9.0-0.4","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","fixation cross","null","","","","","","","","","","","",""
"","825","html-keyboard-response","26","81010","0.0-9.0-1.4","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2600","ongrid","q","3","Ontogenetic","true","practice"
"","null","html-keyboard-response","27","81163","0.0-9.0-2.4","NAw3IORdyj","65c128e33e63ff895c314fbd","6617fad957f7c6a12ea16e26","6622c0b5a3f5e707c22795ca","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
