"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","24678","fullscreen","0","25763","0.0-0.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","","","","","","","","","","","","","",""
"","26367","html-keyboard-response","1","52146","0.0-1.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","instruction screen 0","control","","","","","","","","","","","",""
"true","","preload","2","154465","0.0-2.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","","","false","[]","[]","[]","","","","","","","",""
"","21167","html-keyboard-response","3","175646","0.0-3.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","instruction screen 1"," ","","","","","","","","","","","",""
"","16767","html-keyboard-response","4","192424","0.0-4.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","instruction screen 2","q","","","","","","","","","","","",""
"","5256","html-keyboard-response","5","197688","0.0-5.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","instruction screen 3","p","","","","","","","","","","","",""
"","6945","html-keyboard-response","6","204639","0.0-6.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","instruction screen 4"," ","","","","","","","","","","","",""
"","2437","html-keyboard-response","7","207081","0.0-7.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","207588","0.0-8.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","208095","0.0-9.0-0.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","fixation cross","null","","","","","","","","","","","",""
"","1769","html-keyboard-response","10","209868","0.0-9.0-1.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","image grid"," ","","","","","Phylogenetic_Distractor_Nonthreat_target","3000","ongrid","p","1","Phylogenetic","false","practice"
"","null","html-keyboard-response","11","210136","0.0-9.0-2.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","211354","0.0-9.0-3.0","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","211856","0.0-9.0-0.1","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","14","214766","0.0-9.0-1.1","P9i5mIhWow","641e665144143d6ffe379ffe","6617fad957f7c6a12ea16e26","6622ce5f922a0fc246071ad8","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
