"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","8627","fullscreen","0","9644","0.0-0.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","","","","","","","","","","","","","",""
"","8254","html-keyboard-response","1","17899","0.0-1.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","instruction screen 0","arrowright","","","","","","","","","","","",""
"true","","preload","2","37188","0.0-2.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","","","false","[]","[]","[]","","","","","","","",""
"","8333","html-keyboard-response","3","45522","0.0-3.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","instruction screen 1"," ","","","","","","","","","","","",""
"","5336","html-keyboard-response","4","50860","0.0-4.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","instruction screen 2","q","","","","","","","","","","","",""
"","7927","html-keyboard-response","5","58789","0.0-5.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","instruction screen 3","p","","","","","","","","","","","",""
"","7071","html-keyboard-response","6","65862","0.0-6.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","instruction screen 4"," ","","","","","","","","","","","",""
"","9614","html-keyboard-response","7","75497","0.0-7.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","76018","0.0-8.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","76533","0.0-9.0-0.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","fixation cross","null","","","","","","","","","","","",""
"","1396","html-keyboard-response","10","77929","0.0-9.0-1.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","image grid"," ","","","","","Ontogenetic_Distractor_Threat_target","3000","ongrid","q","7","Ontogenetic","false","practice"
"","null","html-keyboard-response","11","78087","0.0-9.0-2.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","79298","0.0-9.0-3.0","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","79809","0.0-9.0-0.1","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","fixation cross","null","","","","","","","","","","","",""
"","1555","html-keyboard-response","14","81364","0.0-9.0-1.1","TZ8onuHLjt","569e9d738ad3f8000d742557","6617fad957f7c6a12ea16e26","6622cde914c78ce03ad32b55","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","2900","ongrid","q","4","Ontogenetic","true","practice"
