"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","586266","fullscreen","0","795962","0.0-0.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","","","","","","","","","","","","","",""
"","14812","html-keyboard-response","1","810779","0.0-1.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","instruction screen 0","k","","","","","","","","","","","",""
"true","","preload","2","815949","0.0-2.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","","","false","[]","[]","[]","","","","","","","",""
"","14980","html-keyboard-response","3","830932","0.0-3.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","instruction screen 1","arrowdown","","","","","","","","","","","",""
"","15003","html-keyboard-response","4","845980","0.0-4.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","instruction screen 2","q","","","","","","","","","","","",""
"","3981","html-keyboard-response","5","850052","0.0-5.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","instruction screen 3","p","","","","","","","","","","","",""
"","7457","html-keyboard-response","6","857519","0.0-6.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","instruction screen 4"," ","","","","","","","","","","","",""
"","8583","html-keyboard-response","7","866152","0.0-7.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","866706","0.0-8.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","867209","0.0-9.0-0.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","fixation cross","null","","","","","","","","","","","",""
"","2867","html-keyboard-response","10","870078","0.0-9.0-1.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","image grid"," ","","","","","Ontogenetic_Distractor_Nonthreat_target","3000","ongrid","p","9","Phylogenetic","false","practice"
"","null","html-keyboard-response","11","870231","0.0-9.0-2.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","871436","0.0-9.0-3.0","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","871945","0.0-9.0-0.1","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","fixation cross","null","","","","","","","","","","","",""
"","1107","html-keyboard-response","14","873054","0.0-9.0-1.1","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","image grid"," ","","","","","Phylogenetic_Distractor_Nonthreat_target","2900","ongrid","p","4","Phylogenetic","false","practice"
"","null","html-keyboard-response","15","873206","0.0-9.0-2.1","ZzDFfWWXmW","6155083c1e4cee887b92d482","6617fad957f7c6a12ea16e26","6622cb4dd7348145f4ffdd87","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
