"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","4131","fullscreen","0","5142","0.0-0.0","auUl5RlOLV","6613642d329d60171ba608d0","6617fad957f7c6a12ea16e26","6622cff81174f5650254c297","","","","","","","","","","","","","",""
"","18121","html-keyboard-response","1","23264","0.0-1.0","auUl5RlOLV","6613642d329d60171ba608d0","6617fad957f7c6a12ea16e26","6622cff81174f5650254c297","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","26361","0.0-2.0","auUl5RlOLV","6613642d329d60171ba608d0","6617fad957f7c6a12ea16e26","6622cff81174f5650254c297","","","false","[]","[]","[]","","","","","","","",""
"","15635","html-keyboard-response","3","41997","0.0-3.0","auUl5RlOLV","6613642d329d60171ba608d0","6617fad957f7c6a12ea16e26","6622cff81174f5650254c297","instruction screen 1"," ","","","","","","","","","","","",""
"","10042","html-keyboard-response","4","52041","0.0-4.0","auUl5RlOLV","6613642d329d60171ba608d0","6617fad957f7c6a12ea16e26","6622cff81174f5650254c297","instruction screen 2","q","","","","","","","","","","","",""
"","6285","html-keyboard-response","5","58328","0.0-5.0","auUl5RlOLV","6613642d329d60171ba608d0","6617fad957f7c6a12ea16e26","6622cff81174f5650254c297","instruction screen 3","p","","","","","","","","","","","",""
"","13017","html-keyboard-response","6","71347","0.0-6.0","auUl5RlOLV","6613642d329d60171ba608d0","6617fad957f7c6a12ea16e26","6622cff81174f5650254c297","instruction screen 4"," ","","","","","","","","","","","",""
"","12702","html-keyboard-response","7","84068","0.0-7.0","auUl5RlOLV","6613642d329d60171ba608d0","6617fad957f7c6a12ea16e26","6622cff81174f5650254c297","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","84591","0.0-8.0","auUl5RlOLV","6613642d329d60171ba608d0","6617fad957f7c6a12ea16e26","6622cff81174f5650254c297","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","85106","0.0-9.0-0.0","auUl5RlOLV","6613642d329d60171ba608d0","6617fad957f7c6a12ea16e26","6622cff81174f5650254c297","fixation cross","null","","","","","","","","","","","",""
