"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1824","fullscreen","0","2841","0.0-0.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","","","","","","","","","","","","","",""
"","7425","html-keyboard-response","1","10271","0.0-1.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","23089","0.0-2.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","","","false","[]","[]","[]","","","","","","","",""
"","6538","html-keyboard-response","3","29629","0.0-3.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","instruction screen 1"," ","","","","","","","","","","","",""
"","6606","html-keyboard-response","4","36244","0.0-4.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","instruction screen 2","q","","","","","","","","","","","",""
"","3653","html-keyboard-response","5","39905","0.0-5.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","instruction screen 3","p","","","","","","","","","","","",""
"","4755","html-keyboard-response","6","44669","0.0-6.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","instruction screen 4"," ","","","","","","","","","","","",""
"","8400","html-keyboard-response","7","53077","0.0-7.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","53673","0.0-8.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","54184","0.0-9.0-0.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","fixation cross","null","","","","","","","","","","","",""
"","1739","html-keyboard-response","10","55924","0.0-9.0-1.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","3000","ongrid","q","8","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","56091","0.0-9.0-2.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","57307","0.0-9.0-3.0","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","57828","0.0-9.0-0.1","cfqIV3Nz4B","5e54dced73aedb4d4b807060","6617fad957f7c6a12ea16e26","6622c9b6a0323a9b731e8303","fixation cross","null","","","","","","","","","","","",""
