"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2150","fullscreen","0","3155","0.0-0.0","cmyb53Jgog","559c1e28fdf99b2189ee807d","6617fad957f7c6a12ea16e26","6622cf46a32ced38ebfd4440","","","","","","","","","","","","","",""
"","18088","html-keyboard-response","1","21249","0.0-1.0","cmyb53Jgog","559c1e28fdf99b2189ee807d","6617fad957f7c6a12ea16e26","6622cf46a32ced38ebfd4440","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","24389","0.0-2.0","cmyb53Jgog","559c1e28fdf99b2189ee807d","6617fad957f7c6a12ea16e26","6622cf46a32ced38ebfd4440","","","false","[]","[]","[]","","","","","","","",""
"","11437","html-keyboard-response","3","35829","0.0-3.0","cmyb53Jgog","559c1e28fdf99b2189ee807d","6617fad957f7c6a12ea16e26","6622cf46a32ced38ebfd4440","instruction screen 1"," ","","","","","","","","","","","",""
"","10659","html-keyboard-response","4","46497","0.0-4.0","cmyb53Jgog","559c1e28fdf99b2189ee807d","6617fad957f7c6a12ea16e26","6622cf46a32ced38ebfd4440","instruction screen 2","q","","","","","","","","","","","",""
"","10263","html-keyboard-response","5","56771","0.0-5.0","cmyb53Jgog","559c1e28fdf99b2189ee807d","6617fad957f7c6a12ea16e26","6622cf46a32ced38ebfd4440","instruction screen 3","p","","","","","","","","","","","",""
"","8711","html-keyboard-response","6","65494","0.0-6.0","cmyb53Jgog","559c1e28fdf99b2189ee807d","6617fad957f7c6a12ea16e26","6622cf46a32ced38ebfd4440","instruction screen 4"," ","","","","","","","","","","","",""
"","6843","html-keyboard-response","7","72378","0.0-7.0","cmyb53Jgog","559c1e28fdf99b2189ee807d","6617fad957f7c6a12ea16e26","6622cf46a32ced38ebfd4440","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","72922","0.0-8.0","cmyb53Jgog","559c1e28fdf99b2189ee807d","6617fad957f7c6a12ea16e26","6622cf46a32ced38ebfd4440","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","73425","0.0-9.0-0.0","cmyb53Jgog","559c1e28fdf99b2189ee807d","6617fad957f7c6a12ea16e26","6622cf46a32ced38ebfd4440","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","76427","0.0-9.0-1.0","cmyb53Jgog","559c1e28fdf99b2189ee807d","6617fad957f7c6a12ea16e26","6622cf46a32ced38ebfd4440","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
