"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","1990","fullscreen","0","2998","0.0-0.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","","","","","","","","","","","","","",""
"","8738","html-keyboard-response","1","11739","0.0-1.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","16976","0.0-2.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","","","false","[]","[]","[]","","","","","","","",""
"","9369","html-keyboard-response","3","26346","0.0-3.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","instruction screen 1"," ","","","","","","","","","","","",""
"","7199","html-keyboard-response","4","33552","0.0-4.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","instruction screen 2","q","","","","","","","","","","","",""
"","4271","html-keyboard-response","5","37829","0.0-5.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","instruction screen 3","p","","","","","","","","","","","",""
"","3645","html-keyboard-response","6","41481","0.0-6.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","instruction screen 4"," ","","","","","","","","","","","",""
"","9563","html-keyboard-response","7","51050","0.0-7.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","51561","0.0-8.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","52066","0.0-9.0-0.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","2345","html-keyboard-response","10","54413","0.0-9.0-1.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid"," ","","","","","Ontogenetic_Distractor_notarget","3000","ongrid"," ","1","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","54569","0.0-9.0-2.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","55786","0.0-9.0-3.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","56294","0.0-9.0-0.1","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","1779","html-keyboard-response","14","58074","0.0-9.0-1.1","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","2900","ongrid","q","5","Phylogenetic","true","practice"
"","null","html-keyboard-response","15","58226","0.0-9.0-2.1","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","16","59439","0.0-9.0-3.1","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","17","59949","0.0-9.0-0.2","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","1417","html-keyboard-response","18","61367","0.0-9.0-1.2","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","2800","ongrid","p","4","Phylogenetic","true","practice"
"","null","html-keyboard-response","19","61521","0.0-9.0-2.2","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","20","62734","0.0-9.0-3.2","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","21","63244","0.0-9.0-0.3","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","1328","html-keyboard-response","22","64573","0.0-9.0-1.3","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","2700","ongrid","q","1","Phylogenetic","true","practice"
"","null","html-keyboard-response","23","64725","0.0-9.0-2.3","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","24","65935","0.0-9.0-3.3","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","25","66448","0.0-9.0-0.4","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","953","html-keyboard-response","26","67403","0.0-9.0-1.4","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid","q","","","","","Ontogenetic_Distractor_Nonthreat_target","2600","ongrid","p","4","Phylogenetic","false","practice"
"","null","html-keyboard-response","27","67556","0.0-9.0-2.4","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","28","68765","0.0-9.0-3.4","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","29","69276","0.0-9.0-0.5","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","2178","html-keyboard-response","30","71455","0.0-9.0-1.5","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid","q","","","","","Phylogenetic_Distractor_Threat_target","2500","ongrid","q","7","Phylogenetic","true","practice"
"","null","html-keyboard-response","31","71609","0.0-9.0-2.5","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","32","72816","0.0-9.0-3.5","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","33","73326","0.0-9.0-0.6","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","1781","html-keyboard-response","34","75110","0.0-9.0-1.6","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid"," ","","","","","Phylogenetic_Distractor_notarget","2400","ongrid"," ","6","Phylogenetic","true","practice"
"","null","html-keyboard-response","35","75263","0.0-9.0-2.6","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","36","76471","0.0-9.0-3.6","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","37","76981","0.0-9.0-0.7","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","1066","html-keyboard-response","38","78046","0.0-9.0-1.7","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2300","ongrid","q","1","Phylogenetic","true","practice"
"","null","html-keyboard-response","39","78201","0.0-9.0-2.7","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","40","79410","0.0-9.0-3.7","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","41","79918","0.0-9.0-0.8","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","1821","html-keyboard-response","42","81741","0.0-9.0-1.8","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid"," ","","","","","Phylogenetic_Distractor_Nonthreat_target","2200","ongrid","p","8","Phylogenetic","false","practice"
"","null","html-keyboard-response","43","81894","0.0-9.0-2.8","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","44","83099","0.0-9.0-3.8","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","45","83606","0.0-9.0-0.9","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","2041","html-keyboard-response","46","85648","0.0-9.0-1.9","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","2100","ongrid","p","2","Phylogenetic","true","practice"
"","null","html-keyboard-response","47","85801","0.0-9.0-2.9","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","48","87005","0.0-9.0-3.9","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","49","87509","0.0-9.0-0.10","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","1557","html-keyboard-response","50","89066","0.0-9.0-1.10","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid"," ","","","","","Ontogenetic_Distractor_Nonthreat_target","2000","ongrid","p","5","Phylogenetic","false","practice"
"","null","html-keyboard-response","51","89221","0.0-9.0-2.10","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","52","90430","0.0-9.0-3.10","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","53","90939","0.0-9.0-0.11","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","1116","html-keyboard-response","54","92056","0.0-9.0-1.11","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","1900","ongrid","q","5","Phylogenetic","true","practice"
"","null","html-keyboard-response","55","92210","0.0-9.0-2.11","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","56","93418","0.0-9.0-3.11","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","57","93928","0.0-9.0-0.12","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","1446","html-keyboard-response","58","95374","0.0-9.0-1.12","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid"," ","","","","","Ontogenetic_Distractor_notarget","1800","ongrid"," ","2","Phylogenetic","true","practice"
"","null","html-keyboard-response","59","95529","0.0-9.0-2.12","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","60","96739","0.0-9.0-3.12","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","61","97249","0.0-9.0-0.13","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","62","98958","0.0-9.0-1.13","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","2181","html-keyboard-response","63","99440","0.0-9.0-2.13","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","mask grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","1700","onmask","p","5","Phylogenetic","true","practice"
"","null","html-keyboard-response","64","100649","0.0-9.0-3.13","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","65","101155","0.0-9.0-0.14","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","66","102765","0.0-9.0-1.14","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","1654","html-keyboard-response","67","102820","0.0-9.0-2.14","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","mask grid"," ","","","","","Phylogenetic_Distractor_notarget","1600","onmask"," ","4","Phylogenetic","true","practice"
"","null","html-keyboard-response","68","104026","0.0-9.0-3.14","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","69","104535","0.0-9.0-0.15","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","1165","html-keyboard-response","70","105702","0.0-9.0-1.15","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid"," ","","","","","Phylogenetic_Distractor_Threat_target","1500","ongrid","q","8","Phylogenetic","false","practice"
"","null","html-keyboard-response","71","105856","0.0-9.0-2.15","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","72","107065","0.0-9.0-3.15","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","73","107574","0.0-9.0-0.16","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","851","html-keyboard-response","74","108426","0.0-9.0-1.16","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","1400","ongrid","q","3","Phylogenetic","true","practice"
"","null","html-keyboard-response","75","108581","0.0-9.0-2.16","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","76","109794","0.0-9.0-3.16","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","77","110306","0.0-9.0-0.17","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","657","html-keyboard-response","78","110964","0.0-9.0-1.17","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","1300","ongrid","q","1","Phylogenetic","true","practice"
"","null","html-keyboard-response","79","111115","0.0-9.0-2.17","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","80","112327","0.0-9.0-3.17","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","81","112835","0.0-9.0-0.18","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","82","114043","0.0-9.0-1.18","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","1500","html-keyboard-response","83","114345","0.0-9.0-2.18","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","mask grid"," ","","","","","Phylogenetic_Distractor_Nonthreat_target","1200","onmask","p","4","Phylogenetic","false","practice"
"","null","html-keyboard-response","84","115554","0.0-9.0-3.18","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","85","116062","0.0-9.0-0.19","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
"","860","html-keyboard-response","86","116923","0.0-9.0-1.19","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","image grid","p","","","","","Ontogenetic_Distractor_Nonthreat_target","1100","ongrid","p","1","Phylogenetic","true","practice"
"","null","html-keyboard-response","87","117076","0.0-9.0-2.19","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","88","118287","0.0-9.0-3.19","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","feedback screen","null","","","","","","","","","","","",""
"","6464","html-keyboard-response","89","124809","0.0-10.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","pre-experimental_briefing"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","90","127381","0.0-11.0-0.0","eVGAp78mX8","656b41bec018aca657ed8254","6617fad957f7c6a12ea16e26","6622cf5dd054e46a9eebf974","fixation cross","null","","","","","","","","","","","",""
