"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","3500","fullscreen","0","4509","0.0-0.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","","","","","","","","","","","","","",""
"","21798","html-keyboard-response","1","26316","0.0-1.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","38279","0.0-2.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","","","false","[]","[]","[]","","","","","","","",""
"","12809","html-keyboard-response","3","51090","0.0-3.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","instruction screen 1"," ","","","","","","","","","","","",""
"","6412","html-keyboard-response","4","57513","0.0-4.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","instruction screen 2","q","","","","","","","","","","","",""
"","7141","html-keyboard-response","5","64664","0.0-5.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","instruction screen 3","p","","","","","","","","","","","",""
"","12180","html-keyboard-response","6","76853","0.0-6.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","instruction screen 4"," ","","","","","","","","","","","",""
"","24944","html-keyboard-response","7","101808","0.0-7.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","102335","0.0-8.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","102837","0.0-9.0-0.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","10","105846","0.0-9.0-1.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","
        <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","4209","html-keyboard-response","11","107056","0.0-9.0-2.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","mask grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","onmask","3000","p","1","Ontogenetic","true","practice"
"","null","html-keyboard-response","12","108290","0.0-9.0-3.0","ggJTmBvICF","5e8537fe23609011fe987ca7","6617fad957f7c6a12ea16e26","6622cf444892fad802096e1e","feedback screen","null","","","","","","","","","","","",""
