"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2950","fullscreen","0","3953","0.0-0.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","","","","","","","","","","","","","",""
"","6274","html-keyboard-response","1","10229","0.0-1.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","instruction screen 0","arrowright","","","","","","","","","","","",""
"true","","preload","2","15920","0.0-2.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","","","false","[]","[]","[]","","","","","","","",""
"","12195","html-keyboard-response","3","28116","0.0-3.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","instruction screen 1","arrowright","","","","","","","","","","","",""
"","21150","html-keyboard-response","4","49268","0.0-4.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","instruction screen 2","q","","","","","","","","","","","",""
"","5357","html-keyboard-response","5","54627","0.0-5.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","instruction screen 3","p","","","","","","","","","","","",""
"","3078","html-keyboard-response","6","57707","0.0-6.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","instruction screen 4"," ","","","","","","","","","","","",""
"","11108","html-keyboard-response","7","68844","0.0-7.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","69376","0.0-8.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","69877","0.0-9.0-0.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","fixation cross","null","","","","","","","","","","","",""
"","2158","html-keyboard-response","10","72036","0.0-9.0-1.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","image grid"," ","","","","","Phylogenetic_Distractor_notarget","3000","ongrid"," ","9","Phylogenetic","true","practice"
"","null","html-keyboard-response","11","72187","0.0-9.0-2.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","73391","0.0-9.0-3.0","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","73895","0.0-9.0-0.1","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","fixation cross","null","","","","","","","","","","","",""
"","2051","html-keyboard-response","14","75946","0.0-9.0-1.1","hSdHdJPZH0","65d6ce10fbdaf41679cebe84","6617fad957f7c6a12ea16e26","6622cade065f433be3dbf8c3","image grid","q","","","","","Ontogenetic_Distractor_Threat_target","2900","ongrid","q","7","Phylogenetic","true","practice"
