"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","respondedwhen","time_manipulation","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2058","fullscreen","0","3061","0.0-0.0","mlJvFaZ9w4","65cb9e5b65630107b7fbb44b","6617fad957f7c6a12ea16e26","6622ccc3febdbed9ad279717","","","","","","","","","","","","","",""
"","11927","html-keyboard-response","1","14990","0.0-1.0","mlJvFaZ9w4","65cb9e5b65630107b7fbb44b","6617fad957f7c6a12ea16e26","6622ccc3febdbed9ad279717","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","18569","0.0-2.0","mlJvFaZ9w4","65cb9e5b65630107b7fbb44b","6617fad957f7c6a12ea16e26","6622ccc3febdbed9ad279717","","","false","[]","[]","[]","","","","","","","",""
"","15590","html-keyboard-response","3","34161","0.0-3.0","mlJvFaZ9w4","65cb9e5b65630107b7fbb44b","6617fad957f7c6a12ea16e26","6622ccc3febdbed9ad279717","instruction screen 1"," ","","","","","","","","","","","",""
"","17545","html-keyboard-response","4","51711","0.0-4.0","mlJvFaZ9w4","65cb9e5b65630107b7fbb44b","6617fad957f7c6a12ea16e26","6622ccc3febdbed9ad279717","instruction screen 2","q","","","","","","","","","","","",""
"","5587","html-keyboard-response","5","57303","0.0-5.0","mlJvFaZ9w4","65cb9e5b65630107b7fbb44b","6617fad957f7c6a12ea16e26","6622ccc3febdbed9ad279717","instruction screen 3","p","","","","","","","","","","","",""
"","6578","html-keyboard-response","6","63888","0.0-6.0","mlJvFaZ9w4","65cb9e5b65630107b7fbb44b","6617fad957f7c6a12ea16e26","6622ccc3febdbed9ad279717","instruction screen 4"," ","","","","","","","","","","","",""
"","7839","html-keyboard-response","7","71763","0.0-7.0","mlJvFaZ9w4","65cb9e5b65630107b7fbb44b","6617fad957f7c6a12ea16e26","6622ccc3febdbed9ad279717","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","72301","0.0-8.0","mlJvFaZ9w4","65cb9e5b65630107b7fbb44b","6617fad957f7c6a12ea16e26","6622ccc3febdbed9ad279717","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","72804","0.0-9.0-0.0","mlJvFaZ9w4","65cb9e5b65630107b7fbb44b","6617fad957f7c6a12ea16e26","6622ccc3febdbed9ad279717","fixation cross","null","","","","","","","","","","","",""
