"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","840","fullscreen","0","1850","0.0-0.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","","","","","","","","","","","","","",""
"","6180","html-keyboard-response","1","8032","0.0-1.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","instruction screen 0"," ","","","","","","","","","","","",""
"true","","preload","2","11424","0.0-2.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","","","false","[]","[]","[]","","","","","","","",""
"","5405","html-keyboard-response","3","16830","0.0-3.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","instruction screen 1"," ","","","","","","","","","","","",""
"","3550","html-keyboard-response","4","20382","0.0-4.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","instruction screen 2","q","","","","","","","","","","","",""
"","2159","html-keyboard-response","5","22543","0.0-5.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","instruction screen 3","p","","","","","","","","","","","",""
"","3357","html-keyboard-response","6","25903","0.0-6.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","instruction screen 4"," ","","","","","","","","","","","",""
"","4799","html-keyboard-response","7","30704","0.0-7.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","instruction screen 5","q","","","","","","","","","","","",""
"","null","html-keyboard-response","8","31222","0.0-8.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","31724","0.0-9.0-0.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","fixation cross","null","","","","","","","","","","","",""
"","1890","html-keyboard-response","10","33615","0.0-9.0-1.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","image grid","p","","","","","Phylogenetic_Distractor_Nonthreat_target","3000","ongrid","p","7","Ontogenetic","true","practice"
"","null","html-keyboard-response","11","33779","0.0-9.0-2.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","34992","0.0-9.0-3.0","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","feedback screen","null","","","","","","","","","","","",""
"","null","html-keyboard-response","13","35502","0.0-9.0-0.1","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","fixation cross","null","","","","","","","","","","","",""
"","1890","html-keyboard-response","14","37392","0.0-9.0-1.1","mt7a0Uxg8T","62851efba924ed81f6f0e7f4","6617fad957f7c6a12ea16e26","6622c9d4d394ea6bbdb6e086","image grid"," ","","","","","Phylogenetic_Distractor_notarget","2900","ongrid"," ","7","Ontogenetic","true","practice"
