"success","rt","trial_type","trial_index","time_elapsed","internal_node_id","unique_identifier","subject_id","study_id","session_id","stimulus","response","timeout","failed_images","failed_audio","failed_video","task","time_manipulation","respondedwhen","correctresponse","targetimagelocation","blocktype","correct","roundtype"
"true","2286","fullscreen","0","3296","0.0-0.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","","","","","","","","","","","","","",""
"","7192","html-keyboard-response","1","10491","0.0-1.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","instruction screen 0","4","","","","","","","","","","","",""
"true","","preload","2","12972","0.0-2.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","","","false","[]","[]","[]","","","","","","","",""
"","7191","html-keyboard-response","3","20164","0.0-3.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","instruction screen 1","4","","","","","","","","","","","",""
"","5683","html-keyboard-response","4","25850","0.0-4.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","instruction screen 2","q","","","","","","","","","","","",""
"","6046","html-keyboard-response","5","31900","0.0-5.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","instruction screen 3","p","","","","","","","","","","","",""
"","6803","html-keyboard-response","6","38706","0.0-6.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","instruction screen 4"," ","","","","","","","","","","","",""
"","13363","html-keyboard-response","7","52072","0.0-7.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","instruction screen 5"," ","","","","","","","","","","","",""
"","null","html-keyboard-response","8","52589","0.0-8.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","fixation cross","null","","","","","","","","","","","",""
"","null","html-keyboard-response","9","53104","0.0-9.0-0.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","fixation cross","null","","","","","","","","","","","",""
"","2264","html-keyboard-response","10","55369","0.0-9.0-1.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","image grid"," ","","","","","Phylogenetic_Distractor_Nonthreat_target","3000","ongrid","p","2","Ontogenetic","false","practice"
"","null","html-keyboard-response","11","55532","0.0-9.0-2.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","
    <div id=""grid-container"">
        <!-- Grid items will be dynamically added here -->
    </div>    ","null","","","","","","","","","","","",""
"","null","html-keyboard-response","12","56745","0.0-9.0-3.0","nWAJPKxfo5","6440ff579347d8f75783b52d","6617fad957f7c6a12ea16e26","6622c96509a8e4ba50166617","feedback screen","null","","","","","","","","","","","",""
